blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
64,2745.851471,2976,2745.851471,0.033096
64,2746.107330,2976,2746.107330,0.013050
64,2746.363190,2976,2746.363190,0.011301
64,2746.619049,2976,2746.619049,0.010860
64,2746.875885,2976,2746.875885,0.010847
64,2747.131744,2976,2747.131744,0.010419
64,2747.387604,2976,2747.387604,0.010310
64,2747.643463,2976,2747.643463,0.010493
64,2747.899323,2976,2747.899323,0.009696
64,2748.155182,2976,2748.155182,0.010678
64,2748.411041,2976,2748.411041,0.010473
64,2748.667877,2976,2748.667877,0.010347
64,2748.923737,2976,2748.923737,0.012489
64,2749.179596,2976,2749.179596,0.010371
64,2749.435455,2976,2749.435455,0.012052
64,2749.691315,2976,2749.691315,0.013515
64,2749.947174,2976,2749.947174,0.011158
64,2750.203033,2976,2750.203033,0.015020
64,2750.459869,2976,2750.459869,0.012601
64,2750.715729,2976,2750.715729,0.012025
64,2750.971588,2976,2750.971588,0.012453
64,2751.227448,2976,2751.227448,0.010681
64,2751.483307,2976,2751.483307,0.010150
64,2751.739166,2976,2751.739166,0.011273
64,2751.995026,2976,2751.995026,0.010246
64,2752.251862,2976,2752.251862,0.010086
64,2752.507721,2976,2752.507721,0.010838
64,2752.763580,2976,2752.763580,0.010498
64,2753.019440,2976,2753.019440,0.013004
64,2753.275299,2976,2753.275299,0.013126
64,2753.531158,2976,2753.531158,0.010072
64,2753.787018,2976,2753.787018,0.011401
64,2754.043854,2976,2754.043854,0.013821
64,2754.299713,2976,2754.299713,0.011436
64,2754.555573,2976,2754.555573,0.013958
64,2754.811432,2976,2754.811432,0.015436
64,2755.067291,2976,2755.067291,0.011541
64,2755.323151,2976,2755.323151,0.011645
64,2755.579010,2976,2755.579010,0.010862
64,2755.835846,2976,2755.835846,0.009833
64,2756.091705,2976,2756.091705,0.014906
64,2756.347565,2976,2756.347565,0.010150
64,2756.603424,2976,2756.603424,0.014841
64,2756.859283,2976,2756.859283,0.010069
64,2757.115143,2976,2757.115143,0.011070
64,2757.371002,2976,2757.371002,0.014115
64,2757.627838,2976,2757.627838,0.013616
64,2757.883698,2976,2757.883698,0.017493
64,2758.139557,2976,2758.139557,0.013927
64,2758.395416,2976,2758.395416,0.013181
64,2758.651276,2976,2758.651276,0.011652
64,2758.907135,2976,2758.907135,0.010473
64,2759.162994,2976,2759.162994,0.010909
64,2759.419830,2976,2759.419830,0.011902
64,2759.675690,2976,2759.675690,0.015035
64,2759.931549,2976,2759.931549,0.012262
64,2760.187408,2976,2760.187408,0.013991
64,2760.443268,2976,2760.443268,0.014938
64,2760.699127,2976,2760.699127,0.012834
64,2760.954987,2976,2760.954987,0.011002
64,2761.211823,2976,2761.211823,0.010963
64,2761.467682,2976,2761.467682,0.012486
64,2761.723541,2976,2761.723541,0.014796
64,2761.979401,2976,2761.979401,0.017681
64,2762.235260,2976,2762.235260,0.009955
64,2762.491119,2976,2762.491119,0.011067
64,2762.746979,2976,2762.746979,0.014310
64,2763.003815,2976,2763.003815,0.012729
64,2763.259674,2976,2763.259674,0.011286
64,2763.515533,2976,2763.515533,0.012445
64,2763.771393,2976,2763.771393,0.014353
64,2764.027252,2976,2764.027252,0.010690
64,2764.283112,2976,2764.283112,0.012043
64,2764.538971,2976,2764.538971,0.011422
64,2764.795807,2976,2764.795807,0.014198
64,2765.051666,2976,2765.051666,0.014241
64,2765.307526,2976,2765.307526,0.012296
64,2765.563385,2976,2765.563385,0.011666
64,2765.819244,2976,2765.819244,0.012533
64,2766.075104,2976,2766.075104,0.010911
64,2766.330963,2976,2766.330963,0.010778
64,2766.587799,2976,2766.587799,0.010641
64,2766.843658,2976,2766.843658,0.013047
64,2767.099518,2976,2767.099518,0.012302
64,2767.355377,2976,2767.355377,0.010449
64,2767.611237,2976,2767.611237,0.010434
64,2767.867096,2976,2767.867096,0.012154
64,2768.123932,2976,2768.123932,0.011781
64,2768.379791,2976,2768.379791,0.012683
64,2768.635651,2976,2768.635651,0.010548
64,2768.891510,2976,2768.891510,0.019938
64,2769.147369,2976,2769.147369,0.010222
64,2769.403229,2976,2769.403229,0.010507
64,2769.659088,2976,2769.659088,0.010307
64,2769.915924,2976,2769.915924,0.014267
64,2770.171783,2976,2770.171783,0.014684
64,2770.427643,2976,2770.427643,0.013667
64,2770.683502,2976,2770.683502,0.010815
64,2770.939362,2976,2770.939362,0.015061
64,2771.195221,2976,2771.195221,0.010375
64,2771.451080,2976,2771.451080,0.011693
64,2771.707916,2976,2771.707916,0.012698
64,2771.963776,2976,2771.963776,0.013094
64,2772.219635,2976,2772.219635,0.011306
64,2772.475494,2976,2772.475494,0.010879
64,2772.731354,2976,2772.731354,0.011582
64,2772.987213,2976,2772.987213,0.013131
64,2773.243073,2976,2773.243073,0.010171
64,2773.499908,2976,2773.499908,0.010271
64,2773.755768,2976,2773.755768,0.010243
64,2774.011627,2976,2774.011627,0.015223
64,2774.267487,2976,2774.267487,0.010491
64,2774.523346,2976,2774.523346,0.011712
64,2774.779205,2976,2774.779205,0.013343
64,2775.035065,2976,2775.035065,0.013617
64,2775.291901,2976,2775.291901,0.010647
64,2775.547760,2976,2775.547760,0.011656
64,2775.803619,2976,2775.803619,0.010874
64,2776.059479,2976,2776.059479,0.012825
64,2776.315338,2976,2776.315338,0.011975
64,2776.571198,2976,2776.571198,0.012578
64,2776.827057,2976,2776.827057,0.010611
64,2777.083893,2976,2777.083893,0.012777
64,2777.339752,2976,2777.339752,0.010967
64,2777.595612,2976,2777.595612,0.010736
64,2777.851471,2976,2777.851471,0.010367
64,2778.107330,2976,2778.107330,0.011704
64,2778.363190,2976,2778.363190,0.010327
64,2778.619049,2976,2778.619049,0.010122
64,2778.875885,2976,2778.875885,0.010798
64,2779.131744,2976,2779.131744,0.014490
64,2779.387604,2976,2779.387604,0.011526
64,2779.643463,2976,2779.643463,0.015712
64,2779.899323,2976,2779.899323,0.010782
64,2780.155182,2976,2780.155182,0.013899
64,2780.411041,2976,2780.411041,0.012432
64,2780.667877,2976,2780.667877,0.010107
64,2780.923737,2976,2780.923737,0.012108
64,2781.179596,2976,2781.179596,0.012252
64,2781.435455,2976,2781.435455,0.010244
64,2781.691315,2976,2781.691315,0.010230
64,2781.947174,2976,2781.947174,0.012798
64,2782.203033,2976,2782.203033,0.012936
64,2782.459869,2976,2782.459869,0.014910
64,2782.715729,2976,2782.715729,0.010544
64,2782.971588,2976,2782.971588,0.011092
64,2783.227448,2976,2783.227448,0.012340
64,2783.483307,2976,2783.483307,0.010144
64,2783.739166,2976,2783.739166,0.010797
64,2783.995026,2976,2783.995026,0.013848
64,2784.251862,2976,2784.251862,0.012493
64,2784.507721,2976,2784.507721,0.012309
64,2784.763580,2976,2784.763580,0.011724
64,2785.019440,2976,2785.019440,0.010248
64,2785.275299,2976,2785.275299,0.013469
64,2785.531158,2976,2785.531158,0.010335
64,2785.787018,2976,2785.787018,0.010966
64,2786.043854,2976,2786.043854,0.010904
64,2786.299713,2976,2786.299713,0.014184
64,2786.555573,2976,2786.555573,0.011504
64,2786.811432,2976,2786.811432,0.011381
64,2787.067291,2976,2787.067291,0.010257
64,2787.323151,2976,2787.323151,0.013429
64,2787.579010,2976,2787.579010,0.009937
64,2787.835846,2976,2787.835846,0.010982
64,2788.091705,2976,2788.091705,0.011421
64,2788.347565,2976,2788.347565,0.013963
64,2788.603424,2976,2788.603424,0.010780
64,2788.859283,2976,2788.859283,0.010049
64,2789.115143,2976,2789.115143,0.010846
64,2789.371002,2976,2789.371002,0.013283
64,2789.627838,2976,2789.627838,0.012524
64,2789.883698,2976,2789.883698,0.012500
64,2790.139557,2976,2790.139557,0.013882
64,2790.395416,2976,2790.395416,0.014698
64,2790.651276,2976,2790.651276,0.011595
64,2790.907135,2976,2790.907135,0.010340
64,2791.162994,2976,2791.162994,0.010086
64,2791.419830,2976,2791.419830,0.013304
64,2791.675690,2976,2791.675690,0.009911
64,2791.931549,2976,2791.931549,0.010551
64,2792.187408,2976,2792.187408,0.014979
64,2792.443268,2976,2792.443268,0.011394
64,2792.699127,2976,2792.699127,0.011860
64,2792.954987,2976,2792.954987,0.011707
64,2793.211823,2976,2793.211823,0.011477
64,2793.467682,2976,2793.467682,0.012396
64,2793.723541,2976,2793.723541,0.010131
64,2793.979401,2976,2793.979401,0.012173
64,2794.235260,2976,2794.235260,0.014158
64,2794.491119,2976,2794.491119,0.011089
64,2794.746979,2976,2794.746979,0.012369
64,2795.003815,2976,2795.003815,0.011634
64,2795.259674,2976,2795.259674,0.011590
64,2795.515533,2976,2795.515533,0.012633
64,2795.771393,2976,2795.771393,0.014356
64,2796.027252,2976,2796.027252,0.012442
64,2796.283112,2976,2796.283112,0.015209
64,2796.538971,2976,2796.538971,0.015177
64,2796.795807,2976,2796.795807,0.011144
