blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.034310
64,11.771393,0,NaN,0.084057
64,12.027252,0,NaN,0.037176
64,12.283112,0,NaN,0.057757
64,12.538971,0,NaN,0.073192
64,12.795807,0,NaN,0.035010
64,13.051666,0,NaN,0.037280
64,13.307526,0,NaN,0.043447
64,13.563385,0,NaN,0.047718
32,13.691315,32,13.691315,0.003162
96,14.075104,64,14.075104,0.067647
64,14.075104,0,NaN,0.054995
64,14.330963,0,NaN,0.040416
64,14.587799,0,NaN,0.040282
64,14.843658,0,NaN,0.140016
64,15.099518,0,NaN,0.050240
64,15.355377,0,NaN,0.053722
64,15.611237,0,NaN,0.037999
64,15.867096,0,NaN,0.030139
64,16.123932,0,NaN,0.049772
64,16.379791,0,NaN,0.045766
64,16.635651,0,NaN,0.033082
64,16.891510,0,NaN,0.029280
64,17.147369,0,NaN,0.029338
64,17.403229,0,NaN,0.041717
64,17.659088,0,NaN,0.043297
64,17.915924,0,NaN,0.035389
64,18.171783,0,NaN,0.040852
64,18.427643,0,NaN,0.056509
64,18.683502,0,NaN,0.049751
64,18.939362,0,NaN,0.066717
64,19.195221,0,NaN,0.027810
64,19.451080,0,NaN,0.025210
64,19.707916,0,NaN,0.023235
64,19.963776,0,NaN,0.028877
32,20.091705,32,20.091705,0.001136
96,20.475494,64,20.475494,0.061509
64,20.475494,0,NaN,0.078697
64,20.731354,0,NaN,0.044931
64,20.987213,0,NaN,0.032139
64,21.243073,0,NaN,0.030663
64,21.499908,0,NaN,0.042933
64,21.755768,0,NaN,0.036400
64,22.011627,0,NaN,0.035336
64,22.267487,0,NaN,0.034579
64,22.523346,0,NaN,0.049345
64,22.779205,0,NaN,0.033839
64,23.035065,0,NaN,0.033684
64,23.291901,0,NaN,0.037411
64,23.547760,0,NaN,0.044486
64,23.803619,0,NaN,0.030917
64,24.059479,0,NaN,0.046304
64,24.315338,0,NaN,0.035974
64,24.571198,0,NaN,0.036869
32,24.699127,32,24.699127,0.001071
96,25.083893,64,25.083893,0.033072
64,25.083893,0,NaN,0.028192
32,25.211823,32,25.211823,0.001404
96,25.595612,64,25.595612,0.040706
64,25.595612,0,NaN,0.052403
64,25.851471,0,NaN,0.052200
64,26.107330,0,NaN,0.040006
64,26.363190,0,NaN,0.064909
64,26.619049,0,NaN,0.034585
64,26.875885,0,NaN,0.024945
64,27.131744,0,NaN,0.042613
64,27.387604,0,NaN,0.040977
64,27.643463,0,NaN,0.035668
64,27.899323,0,NaN,0.034737
32,28.027252,32,28.027252,0.002449
96,28.411041,64,28.411041,0.058418
64,28.411041,0,NaN,0.045237
64,28.667877,0,NaN,0.059753
64,28.923737,0,NaN,0.025368
64,29.179596,0,NaN,0.033511
64,29.435455,0,NaN,0.059691
64,29.691315,0,NaN,0.040476
64,29.947174,0,NaN,0.050656
64,30.203033,0,NaN,0.031281
64,30.459869,0,NaN,0.040713
64,30.715729,0,NaN,0.065204
64,30.971588,0,NaN,0.032579
64,31.227448,0,NaN,0.027916
64,31.483307,0,NaN,0.029445
64,31.739166,0,NaN,0.047740
64,31.995026,0,NaN,0.030654
64,32.251862,0,NaN,0.029504
64,32.507721,0,NaN,0.041967
64,32.763580,0,NaN,0.034040
64,33.019440,0,NaN,0.034419
64,33.275299,0,NaN,0.032774
64,33.531158,0,NaN,0.028810
64,33.787018,0,NaN,0.048484
64,34.043854,0,NaN,0.037355
64,34.299713,0,NaN,0.035005
64,34.555573,0,NaN,0.032546
64,34.811432,0,NaN,0.044438
64,35.067291,0,NaN,0.034582
64,35.323151,0,NaN,0.030359
64,35.579010,0,NaN,0.034842
64,35.835846,0,NaN,0.031790
64,36.091705,0,NaN,0.042885
64,36.347565,0,NaN,0.024480
32,36.475494,32,36.475494,0.001036
96,36.859283,64,36.859283,0.035534
64,36.859283,0,NaN,0.034752
64,37.115143,0,NaN,0.042223
64,37.371002,0,NaN,0.034188
64,37.627838,0,NaN,0.034073
64,37.883698,0,NaN,0.054274
64,38.139557,0,NaN,0.053808
64,38.395416,0,NaN,0.036817
64,38.651276,0,NaN,0.043046
64,38.907135,0,NaN,0.039448
64,39.162994,0,NaN,0.035514
64,39.419830,0,NaN,0.033802
64,39.675690,0,NaN,0.035537
64,39.931549,0,NaN,0.043293
64,40.187408,0,NaN,0.057028
64,40.443268,0,NaN,0.044186
64,40.699127,0,NaN,0.027333
64,40.954987,0,NaN,0.038830
64,41.211823,0,NaN,0.038705
64,41.467682,0,NaN,0.050970
64,41.723541,0,NaN,0.040775
64,41.979401,0,NaN,0.030726
64,42.235260,0,NaN,0.049920
64,42.491119,0,NaN,0.057944
64,42.746979,0,NaN,0.026781
64,43.003815,0,NaN,0.039957
64,43.259674,0,NaN,0.026396
64,43.515533,0,NaN,0.052805
64,43.771393,0,NaN,0.027639
64,44.027252,0,NaN,0.034931
64,44.283112,0,NaN,0.057254
64,44.538971,0,NaN,0.041486
64,44.795807,0,NaN,0.033100
64,45.051666,0,NaN,0.042403
64,45.307526,0,NaN,0.026660
64,45.563385,0,NaN,0.049467
64,45.819244,0,NaN,0.036318
64,46.075104,0,NaN,0.040950
64,46.330963,0,NaN,0.046750
64,46.587799,0,NaN,0.047264
64,46.843658,0,NaN,0.096396
64,47.099518,0,NaN,0.056968
64,47.355377,0,NaN,0.031712
64,47.611237,0,NaN,0.063089
64,47.867096,0,NaN,0.107148
64,48.123932,0,NaN,0.070226
64,48.379791,0,NaN,0.036149
64,48.635651,0,NaN,0.062485
64,48.891510,0,NaN,0.065479
32,49.019440,32,49.019440,0.001066
96,49.403229,64,49.403229,0.034193
64,49.403229,0,NaN,0.023557
64,49.659088,0,NaN,0.047228
64,49.915924,0,NaN,0.044327
64,50.171783,0,NaN,0.041237
64,50.427643,0,NaN,0.041249
64,50.683502,0,NaN,0.047153
64,50.939362,0,NaN,0.048159
64,51.195221,0,NaN,0.045281
64,51.451080,0,NaN,0.034045
64,51.707916,0,NaN,0.036038
64,51.963776,0,NaN,0.038646
64,52.219635,0,NaN,0.049308
64,52.475494,0,NaN,0.028864
64,52.731354,0,NaN,0.038835
64,52.987213,0,NaN,0.043185
64,53.243073,0,NaN,0.056043
64,53.499908,0,NaN,0.022036
64,53.755768,0,NaN,0.039730
64,54.011627,0,NaN,0.046405
64,54.267487,0,NaN,0.047772
64,54.523346,0,NaN,0.036067
64,54.779205,0,NaN,0.038526
64,55.035065,0,NaN,0.038017
64,55.291901,0,NaN,0.038830
64,55.547760,0,NaN,0.030079
64,55.803619,0,NaN,0.047285
64,56.059479,0,NaN,0.046566
64,56.315338,0,NaN,0.047353
64,56.571198,0,NaN,0.044901
64,56.827057,0,NaN,0.037734
64,57.083893,0,NaN,0.038442
64,57.339752,0,NaN,0.035954
64,57.595612,0,NaN,0.112910
160,58.235260,96,58.235260,0.051642
32,58.363190,64,58.363190,0.088336
64,58.363190,0,NaN,0.070171
64,58.619049,0,NaN,0.200042
64,58.875885,0,NaN,0.091845
64,59.131744,0,NaN,0.046349
64,59.387604,0,NaN,0.039106
64,59.643463,0,NaN,0.041081
64,59.899323,0,NaN,0.037814
64,60.155182,0,NaN,0.027090
64,60.411041,0,NaN,0.039531
64,60.667877,0,NaN,0.035084
64,60.923737,0,NaN,0.063603
64,61.179596,0,NaN,0.036754
64,61.435455,0,NaN,0.053510
64,61.691315,0,NaN,0.034793
64,61.947174,0,NaN,0.069625
64,62.203033,0,NaN,0.037875
64,62.459869,0,NaN,0.063784
64,62.715729,0,NaN,0.041473
64,62.971588,0,NaN,0.088709
64,63.227448,0,NaN,0.033218
64,63.483307,0,NaN,0.056533
96,63.867096,32,63.867096,0.274604
64,64.123932,32,64.123932,0.072994
32,64.251862,0,NaN,0.045076
64,64.507721,0,NaN,0.086437
64,64.763580,0,NaN,0.044913
64,65.019440,0,NaN,0.068636
64,65.275299,0,NaN,0.034723
64,65.531158,0,NaN,0.061475
64,65.787018,0,NaN,0.042633
64,66.043854,0,NaN,0.061464
64,66.299713,0,NaN,0.057321
64,66.555573,0,NaN,0.050615
64,66.811432,0,NaN,0.040532
64,67.067291,0,NaN,0.054376
64,67.323151,0,NaN,0.056113
64,67.579010,0,NaN,0.066567
64,67.835846,0,NaN,0.083778
64,68.091705,0,NaN,0.038728
64,68.347565,0,NaN,0.050933
64,68.603424,0,NaN,0.039251
64,68.859283,0,NaN,0.046010
64,69.115143,0,NaN,0.044797
64,69.371002,0,NaN,0.049679
64,69.627838,0,NaN,0.036046
64,69.883698,0,NaN,0.033565
64,70.139557,0,NaN,0.053995
64,70.395416,0,NaN,0.036489
64,70.651276,0,NaN,0.041556
64,70.907135,0,NaN,0.036812
64,71.162994,0,NaN,0.044375
64,71.419830,0,NaN,0.033931
32,71.547760,32,71.547760,0.002044
96,71.931549,64,71.931549,0.040524
64,71.931549,0,NaN,0.034350
64,72.187408,0,NaN,0.050241
64,72.443268,0,NaN,0.032924
64,72.699127,0,NaN,0.070246
64,72.954987,0,NaN,0.037092
64,73.211823,0,NaN,0.045317
64,73.467682,0,NaN,0.027571
64,73.723541,0,NaN,0.061858
64,73.979401,0,NaN,0.028483
64,74.235260,0,NaN,0.074658
64,74.491119,0,NaN,0.035705
64,74.746979,0,NaN,0.043779
64,75.003815,0,NaN,0.036421
32,75.131744,32,75.131744,0.001444
96,75.515533,64,75.515533,0.049247
64,75.515533,0,NaN,0.052623
64,75.771393,0,NaN,0.044765
64,76.027252,0,NaN,0.027417
64,76.283112,0,NaN,0.037326
64,76.538971,0,NaN,0.036423
64,76.795807,0,NaN,0.033105
64,77.051666,0,NaN,0.029651
64,77.307526,0,NaN,0.046772
64,77.563385,0,NaN,0.058384
64,77.819244,0,NaN,0.044289
64,78.075104,0,NaN,0.047295
64,78.330963,0,NaN,0.055444
64,78.587799,0,NaN,0.040007
64,78.843658,0,NaN,0.045970
64,79.099518,0,NaN,0.033524
64,79.355377,0,NaN,0.049321
64,79.611237,0,NaN,0.057754
64,79.867096,0,NaN,0.045443
64,80.123932,0,NaN,0.034085
64,80.379791,0,NaN,0.039349
64,80.635651,0,NaN,0.032599
64,80.891510,0,NaN,0.042045
64,81.147369,0,NaN,0.037237
