blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.003485
64,570.619049,0,NaN,0.256120
160,571.259674,0,NaN,0.684484
32,571.387604,96,571.259674,0.130153
64,571.643463,0,NaN,0.211134
64,571.899323,0,NaN,0.254090
64,572.155182,0,NaN,0.254883
64,572.411041,0,NaN,0.256400
64,572.667877,0,NaN,0.255831
64,572.923737,0,NaN,0.256555
64,573.179596,0,NaN,0.254636
64,573.435455,0,NaN,0.256367
64,573.691315,0,NaN,0.256089
64,573.947174,0,NaN,0.256091
64,574.203033,0,NaN,0.256490
64,574.459869,0,NaN,0.255781
64,574.715729,0,NaN,0.256016
64,574.971588,0,NaN,0.255613
64,575.227448,0,NaN,0.256306
64,575.483307,0,NaN,0.255956
64,575.739166,0,NaN,0.255644
64,575.995026,0,NaN,0.256492
64,576.251862,0,NaN,0.255430
64,576.507721,0,NaN,0.256856
64,576.763580,0,NaN,0.255235
64,577.019440,0,NaN,0.256388
64,577.275299,0,NaN,0.256037
64,577.531158,0,NaN,0.255342
64,577.787018,0,NaN,0.256697
64,578.043854,0,NaN,0.255212
64,578.299713,0,NaN,0.255911
64,578.555573,0,NaN,0.257116
64,578.811432,0,NaN,0.255402
64,579.067291,0,NaN,0.256523
64,579.323151,0,NaN,0.254343
64,579.579010,0,NaN,0.256041
64,579.835846,0,NaN,0.256555
64,580.091705,0,NaN,0.256500
64,580.347565,0,NaN,0.256582
64,580.603424,0,NaN,0.255237
64,580.859283,0,NaN,0.255806
64,581.115143,0,NaN,0.256595
64,581.371002,0,NaN,0.255496
64,581.627838,0,NaN,0.256150
64,581.883698,0,NaN,0.256286
64,582.139557,0,NaN,0.254981
64,582.395416,0,NaN,0.256063
64,582.651276,0,NaN,0.256120
64,582.907135,0,NaN,0.256318
64,583.162994,0,NaN,0.256543
64,583.419830,0,NaN,0.255200
64,583.675690,0,NaN,0.256160
64,583.931549,0,NaN,0.256034
64,584.187408,0,NaN,0.256095
64,584.443268,0,NaN,0.255408
64,584.699127,0,NaN,0.256511
64,584.954987,0,NaN,0.256769
64,585.211823,0,NaN,0.254765
64,585.467682,0,NaN,0.257057
64,585.723541,0,NaN,0.256016
64,585.979401,0,NaN,0.255050
64,586.235260,0,NaN,0.256406
64,586.491119,0,NaN,0.256400
64,586.746979,0,NaN,0.255892
64,587.003815,0,NaN,0.255383
64,587.259674,0,NaN,0.256099
64,587.515533,0,NaN,0.256075
64,587.771393,0,NaN,0.255911
64,588.027252,0,NaN,0.256144
64,588.283112,0,NaN,0.256431
64,588.538971,0,NaN,0.255000
64,588.795807,0,NaN,0.256558
64,589.051666,0,NaN,0.255906
64,589.307526,0,NaN,0.255455
64,589.563385,0,NaN,0.256232
32,589.691315,0,NaN,0.255760
96,590.075104,32,589.691315,0.259737
64,590.330963,32,590.075104,0.253305
64,590.587799,0,NaN,0.256104
64,590.843658,0,NaN,0.260560
64,591.099518,0,NaN,0.249921
64,591.355377,0,NaN,0.256147
64,591.611237,0,NaN,0.255920
64,591.867096,0,NaN,0.256266
64,592.123932,0,NaN,0.256103
64,592.379791,0,NaN,0.256051
96,592.763580,0,NaN,0.425555
32,592.891510,32,592.763580,0.088472
64,593.147369,0,NaN,0.254156
64,593.403229,0,NaN,0.256531
64,593.659088,0,NaN,0.255328
64,593.915924,0,NaN,0.256609
64,594.171783,0,NaN,0.254972
64,594.427643,0,NaN,0.256284
64,594.683502,0,NaN,0.256184
32,594.811432,0,NaN,0.256123
96,595.195221,32,594.811432,0.256080
64,595.451080,32,595.195221,0.255395
64,595.707916,0,NaN,0.256089
64,595.963776,0,NaN,0.256755
64,596.219635,0,NaN,0.255775
64,596.475494,0,NaN,0.255348
64,596.731354,0,NaN,0.256054
64,596.987213,0,NaN,0.256032
32,597.115143,0,NaN,0.256489
96,597.499908,32,597.115143,0.256582
64,597.755768,32,597.499908,0.254886
64,598.011627,0,NaN,0.256580
64,598.267487,0,NaN,0.255923
64,598.523346,0,NaN,0.255301
64,598.779205,0,NaN,0.256674
64,599.035065,0,NaN,0.255543
64,599.291901,0,NaN,0.256624
64,599.547760,0,NaN,0.255199
64,599.803619,0,NaN,0.256213
64,600.059479,0,NaN,0.256561
64,600.315338,0,NaN,0.255116
64,600.571198,0,NaN,0.256398
64,600.827057,0,NaN,0.255863
64,601.083893,0,NaN,0.256460
64,601.339752,0,NaN,0.255188
64,601.595612,0,NaN,0.256215
64,601.851471,0,NaN,0.256057
64,602.107330,0,NaN,0.256195
