blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.006554
96,5.499908,32,5.499908,0.093181
64,5.755768,32,5.755768,0.038670
64,6.011627,32,6.011627,0.040739
64,6.267487,32,6.267487,0.052119
64,6.523346,32,6.523346,0.051798
64,6.779205,32,6.779205,0.043929
64,7.035065,32,7.035065,0.037568
64,7.291901,32,7.291901,0.038504
64,7.547760,32,7.547760,0.031508
64,7.803619,32,7.803619,0.033014
64,8.059479,32,8.059479,0.035839
64,8.315338,32,8.315338,0.030290
64,8.571198,32,8.571198,0.038577
32,8.699127,0,NaN,0.029994
96,9.083893,32,9.083893,0.037436
64,9.339752,32,9.339752,0.047678
64,9.595612,32,9.595612,0.033746
64,9.851471,32,9.851471,0.050154
64,10.107330,32,10.107330,0.041018
64,10.363190,32,10.363190,0.036668
32,10.491119,0,NaN,0.051813
96,10.875885,32,10.875885,0.041084
64,11.131744,32,11.131744,0.062095
64,11.387604,32,11.387604,0.061119
64,11.643463,32,11.643463,0.039556
64,11.899323,32,11.899323,0.040949
64,12.155182,32,12.155182,0.043959
64,12.411041,32,12.411041,0.030897
64,12.667877,32,12.667877,0.154129
64,12.923737,32,12.923737,0.079624
64,13.179596,32,13.179596,0.044227
32,13.307526,0,NaN,0.054769
96,13.691315,32,13.691315,0.050314
64,13.947174,32,13.947174,0.031346
64,14.203033,32,14.203033,0.049590
64,14.459869,32,14.459869,0.115878
64,14.715729,32,14.715729,0.051429
64,14.971588,32,14.971588,0.060320
64,15.227448,32,15.227448,0.048421
64,15.483307,32,15.483307,0.084626
64,15.739166,32,15.739166,0.078924
64,15.995026,32,15.995026,0.036249
64,16.251862,32,16.251862,0.063199
32,16.379791,0,NaN,0.094628
96,16.763580,32,16.763580,0.029487
64,17.019440,32,17.019440,0.047450
64,17.275299,32,17.275299,0.036664
64,17.531158,32,17.531158,0.043520
64,17.787018,32,17.787018,0.068860
64,18.043854,32,18.043854,0.039502
64,18.299713,32,18.299713,0.050668
64,18.555573,32,18.555573,0.063492
64,18.811432,32,18.811432,0.043192
64,19.067291,32,19.067291,0.050907
64,19.323151,32,19.323151,0.030669
64,19.579010,32,19.579010,0.074898
64,19.835846,32,19.835846,0.066457
64,20.091705,32,20.091705,0.041330
64,20.347565,32,20.347565,0.054193
64,20.603424,32,20.603424,0.054029
64,20.859283,32,20.859283,0.042295
64,21.115143,32,21.115143,0.046257
64,21.371002,32,21.371002,0.063955
64,21.627838,32,21.627838,0.042651
64,21.883698,32,21.883698,0.051205
64,22.139557,32,22.139557,0.062746
64,22.395416,32,22.395416,0.038262
32,22.523346,0,NaN,0.052170
96,22.907135,32,22.907135,0.053677
64,23.162994,32,23.162994,0.057134
64,23.419830,32,23.419830,0.056487
64,23.675690,32,23.675690,0.040194
64,23.931549,32,23.931549,0.079159
64,24.187408,32,24.187408,0.062299
64,24.443268,32,24.443268,0.051949
64,24.699127,32,24.699127,0.070783
64,24.954987,32,24.954987,0.127321
64,25.211823,32,25.211823,0.124853
64,25.467682,32,25.467682,0.070135
64,25.723541,32,25.723541,0.103482
32,25.851471,0,NaN,0.069173
96,26.235260,32,26.235260,0.067376
64,26.491119,32,26.491119,0.049704
64,26.746979,32,26.746979,0.059489
64,27.003815,32,27.003815,0.063880
64,27.259674,32,27.259674,0.054709
64,27.515533,32,27.515533,0.061097
64,27.771393,32,27.771393,0.053185
64,28.027252,32,28.027252,0.031019
64,28.283112,32,28.283112,0.056795
64,28.538971,32,28.538971,0.049667
64,28.795807,32,28.795807,0.046967
64,29.051666,32,29.051666,0.043697
64,29.307526,32,29.307526,0.069282
64,29.563385,32,29.563385,0.057940
64,29.819244,32,29.819244,0.057262
64,30.075104,32,30.075104,0.052496
64,30.330963,32,30.330963,0.058033
64,30.587799,32,30.587799,0.049270
64,30.843658,32,30.843658,0.050207
64,31.099518,32,31.099518,0.039706
64,31.355377,32,31.355377,0.040887
32,31.483307,0,NaN,0.037531
96,31.867096,32,31.867096,0.063706
64,32.123932,32,32.123932,0.066530
64,32.379791,32,32.379791,0.071217
32,32.507721,0,NaN,0.063462
96,32.891510,32,32.891510,0.038826
64,33.147369,32,33.147369,0.062245
64,33.403229,32,33.403229,0.052925
64,33.659088,32,33.659088,0.061490
64,33.915924,32,33.915924,0.056513
64,34.171783,32,34.171783,0.062374
64,34.427643,32,34.427643,0.055074
64,34.683502,32,34.683502,0.101747
64,34.939362,32,34.939362,0.086281
64,35.195221,32,35.195221,0.074608
32,35.323151,0,NaN,0.084128
96,35.707916,32,35.707916,0.078384
64,35.963776,32,35.963776,0.049672
64,36.219635,32,36.219635,0.048873
64,36.475494,32,36.475494,0.063401
64,36.731354,32,36.731354,0.039688
64,36.987213,32,36.987213,0.050458
64,37.243073,32,37.243073,0.050626
64,37.499908,32,37.499908,0.070766
32,37.627838,0,NaN,0.058154
96,38.011627,32,38.011627,0.047676
64,38.267487,32,38.267487,0.051525
64,38.523346,32,38.523346,0.042734
64,38.779205,32,38.779205,0.047744
64,39.035065,32,39.035065,0.056724
64,39.291901,32,39.291901,0.066968
64,39.547760,32,39.547760,0.074177
64,39.803619,32,39.803619,0.058935
64,40.059479,32,40.059479,0.101785
64,40.315338,32,40.315338,0.057139
64,40.571198,32,40.571198,0.061909
64,40.827057,32,40.827057,0.045312
64,41.083893,32,41.083893,0.083790
64,41.339752,32,41.339752,0.047900
64,41.595612,32,41.595612,0.070846
64,41.851471,32,41.851471,0.060461
64,42.107330,32,42.107330,0.098398
64,42.363190,32,42.363190,0.047045
32,42.491119,0,NaN,0.061148
96,42.875885,32,42.875885,0.061317
64,43.131744,32,43.131744,0.069378
64,43.387604,32,43.387604,0.069246
64,43.643463,32,43.643463,0.047837
64,43.899323,32,43.899323,0.060921
64,44.155182,32,44.155182,0.065300
64,44.411041,32,44.411041,0.091263
64,44.667877,32,44.667877,0.059653
64,44.923737,32,44.923737,0.077481
64,45.179596,32,45.179596,0.097580
64,45.435455,32,45.435455,0.088365
64,45.691315,32,45.691315,0.084576
64,45.947174,32,45.947174,0.039574
64,46.203033,32,46.203033,0.063565
64,46.459869,32,46.459869,0.043014
64,46.715729,32,46.715729,0.048390
64,46.971588,32,46.971588,0.057776
64,47.227448,32,47.227448,0.046086
32,47.355377,0,NaN,0.061937
96,47.739166,32,47.739166,0.047136
64,47.995026,32,47.995026,0.061124
64,48.251862,32,48.251862,0.057367
64,48.507721,32,48.507721,0.114268
64,48.763580,32,48.763580,0.064339
64,49.019440,32,49.019440,0.041724
64,49.275299,32,49.275299,0.085943
64,49.531158,32,49.531158,0.040834
64,49.787018,32,49.787018,0.033410
64,50.043854,32,50.043854,0.035424
64,50.299713,32,50.299713,0.046946
64,50.555573,32,50.555573,0.060581
64,50.811432,32,50.811432,0.039866
64,51.067291,32,51.067291,0.043133
64,51.323151,32,51.323151,0.027427
64,51.579010,32,51.579010,0.045445
64,51.835846,32,51.835846,0.041332
64,52.091705,32,52.091705,0.045293
32,52.219635,0,NaN,0.035595
96,52.603424,32,52.603424,0.035726
64,52.859283,32,52.859283,0.039592
64,53.115143,32,53.115143,0.047852
64,53.371002,32,53.371002,0.049661
64,53.627838,32,53.627838,0.047007
64,53.883698,32,53.883698,0.056197
64,54.139557,32,54.139557,0.047363
64,54.395416,32,54.395416,0.055726
64,54.651276,32,54.651276,0.044621
64,54.907135,32,54.907135,0.067651
64,55.162994,32,55.162994,0.054322
32,55.291901,0,NaN,0.041135
96,55.675690,32,55.675690,0.050782
64,55.931549,32,55.931549,0.050203
64,56.187408,32,56.187408,0.036013
64,56.443268,32,56.443268,0.035959
64,56.699127,32,56.699127,0.047220
64,56.954987,32,56.954987,0.046438
64,57.211823,32,57.211823,0.051484
64,57.467682,32,57.467682,0.041294
64,57.723541,32,57.723541,0.045553
64,57.979401,32,57.979401,0.042129
64,58.235260,32,58.235260,0.051002
64,58.491119,32,58.491119,0.046181
32,58.619049,0,NaN,0.049172
96,59.003815,32,59.003815,0.057053
64,59.259674,32,59.259674,0.065336
