blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.001385
64,2.939362,0,NaN,0.045739
32,3.067291,32,3.067291,0.000459
64,3.323151,0,NaN,0.025261
64,3.579010,0,NaN,0.001457
96,3.963776,32,3.963776,0.001759
64,4.219635,0,NaN,0.001267
64,4.475494,0,NaN,0.000982
64,4.731354,0,NaN,0.000964
64,4.987213,0,NaN,0.001215
32,5.115143,32,5.115143,0.000154
96,5.499908,32,5.499908,0.001065
32,5.627838,0,NaN,0.001051
64,5.883698,0,NaN,0.000771
96,6.267487,32,6.267487,0.001004
64,6.523346,0,NaN,0.001321
32,6.651276,32,6.651276,0.000099
96,7.035065,32,7.035065,0.000992
32,7.162994,0,NaN,0.001199
64,7.419830,0,NaN,0.001219
64,7.675690,0,NaN,0.000786
96,8.059479,32,8.059479,0.000882
64,8.315338,0,NaN,0.001006
32,8.443268,32,8.443268,0.000111
96,8.827057,32,8.827057,0.001052
64,9.083893,0,NaN,0.000843
64,9.339752,0,NaN,0.000756
32,9.467682,32,9.467682,0.000138
64,9.723541,0,NaN,0.000823
64,9.979401,0,NaN,0.000815
96,10.363190,32,10.363190,0.000838
32,10.491119,0,NaN,0.000784
64,10.746979,0,NaN,0.001051
96,11.131744,32,11.131744,0.000801
64,11.387604,0,NaN,0.000898
64,11.643463,0,NaN,0.001026
64,11.899323,0,NaN,0.000800
32,12.027252,32,12.027252,0.000099
96,12.411041,32,12.411041,0.001070
64,12.667877,0,NaN,0.000869
64,12.923737,0,NaN,0.000796
64,13.179596,0,NaN,0.000881
32,13.307526,32,13.307526,0.000114
64,13.563385,0,NaN,0.000821
64,13.819244,0,NaN,0.000763
96,14.203033,32,14.203033,0.000829
64,14.459869,0,NaN,0.001209
64,14.715729,0,NaN,0.000797
64,14.971588,0,NaN,0.000839
32,15.099518,32,15.099518,0.000098
96,15.483307,32,15.483307,0.000906
32,15.611237,0,NaN,0.000799
64,15.867096,0,NaN,0.000823
64,16.123932,0,NaN,0.000860
96,16.507721,32,16.507721,0.000852
32,16.635651,0,NaN,0.001075
96,17.019440,32,17.019440,0.001131
64,17.275299,0,NaN,0.001291
32,17.403229,32,17.403229,0.000350
96,17.787018,32,17.787018,0.000789
64,18.043854,0,NaN,0.000875
64,18.299713,0,NaN,0.000794
32,18.427643,32,18.427643,0.000095
96,18.811432,32,18.811432,0.000888
64,19.067291,0,NaN,0.000906
32,19.195221,32,19.195221,0.000124
64,19.451080,0,NaN,0.000913
64,19.707916,0,NaN,0.000772
96,20.091705,32,20.091705,0.000840
32,20.219635,0,NaN,0.000763
96,20.603424,32,20.603424,0.000840
64,20.859283,0,NaN,0.000775
64,21.115143,0,NaN,0.000798
32,21.243073,32,21.243073,0.000111
96,21.627838,32,21.627838,0.001262
64,21.883698,0,NaN,0.000786
64,22.139557,0,NaN,0.000807
32,22.267487,32,22.267487,0.000100
64,22.523346,0,NaN,0.000801
64,22.779205,0,NaN,0.000794
96,23.162994,32,23.162994,0.000895
64,23.419830,0,NaN,0.000973
64,23.675690,0,NaN,0.000801
32,23.803619,32,23.803619,0.000127
96,24.187408,32,24.187408,0.001024
32,24.315338,0,NaN,0.001001
64,24.571198,0,NaN,0.000774
96,24.954987,32,24.954987,0.000959
64,25.211823,0,NaN,0.000882
32,25.339752,32,25.339752,0.000127
64,25.595612,0,NaN,0.001165
96,25.979401,32,25.979401,0.000954
32,26.107330,0,NaN,0.001195
64,26.363190,0,NaN,0.000857
64,26.619049,0,NaN,0.001416
64,26.875885,0,NaN,0.001302
96,27.259674,32,27.259674,0.001255
64,27.515533,0,NaN,0.001377
64,27.771393,0,NaN,0.001335
64,28.027252,0,NaN,0.000771
64,28.283112,0,NaN,0.000830
32,28.411041,32,28.411041,0.000211
96,28.795807,32,28.795807,0.000868
32,28.923737,0,NaN,0.000803
64,29.179596,0,NaN,0.000887
96,29.563385,32,29.563385,0.000798
64,29.819244,0,NaN,0.000765
32,29.947174,32,29.947174,0.000127
96,30.330963,32,30.330963,0.000845
32,30.459869,0,NaN,0.000849
96,30.843658,32,30.843658,0.000838
32,30.971588,0,NaN,0.000804
64,31.227448,0,NaN,0.000870
