Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
153365.8906,166389.3750,151823.8125,160512.6094,187500.0000,187500.0000,187500.0000,187500.0000,149655.8594,149730.3750,157611.1719,155405.5000,187500.0000,171524.9531,187500.0000,175341.1875,159091.9844,158233.6094,137039.7188,187500.0000,187500.0000,187500.0000,28.347076,NaN,NaN,NaN
153342.7969,166339.8438,151819.4063,160517.0156,187500.0000,187500.0000,187500.0000,187500.0000,149656.1719,149744.1875,157609.1563,155405.2188,187500.0000,171530.5469,187500.0000,175368.8281,159075.0156,158224.4375,137068.2969,187500.0000,187500.0000,187500.0000,28.351074,NaN,NaN,NaN
152876.2188,163613.5625,152078.0625,159409.6875,187500.0000,187500.0000,187500.0000,187500.0000,150015.6094,149959.8750,158059.2188,155117.6094,187500.0000,171529.6875,187500.0000,175282.6719,158656.0938,157922.2031,137081.1406,187500.0000,187500.0000,187500.0000,28.355072,NaN,NaN,NaN
152578.0156,161818.3281,152250.5781,158649.2500,187500.0000,187500.0000,187500.0000,187500.0000,150254.3438,150102.0781,158359.6406,154923.7969,187500.0000,171529.3750,187500.0000,175203.1563,158380.7969,157717.9063,137048.3125,187500.0000,187500.0000,187500.0000,28.359070,NaN,NaN,NaN
152879.1719,163624.0156,152061.2344,159347.1406,187500.0000,187500.0000,187500.0000,187500.0000,149999.7344,149941.2344,158044.6250,155100.9688,187500.0000,171526.7031,187500.0000,175240.3281,158656.0000,157912.6094,137009.3906,187500.0000,187500.0000,187500.0000,28.363068,NaN,NaN,NaN
153303.0938,166274.5781,151777.0313,160423.9375,187500.0000,187500.0000,187500.0000,187500.0000,149621.8125,149702.7969,157574.3438,155370.9531,187500.0000,171523.5313,187500.0000,175329.9531,159051.2813,158196.5469,137001.0156,187500.0000,187500.0000,187500.0000,28.367065,NaN,NaN,NaN
153284.8594,166253.5000,151769.5469,160439.9844,187500.0000,187500.0000,187500.0000,187500.0000,149618.9063,149712.7813,157567.6094,155374.1875,187500.0000,171529.3750,187500.0000,175358.8594,159038.5625,158190.2344,137029.2188,187500.0000,187500.0000,187500.0000,28.371063,NaN,NaN,NaN
152824.8594,163539.3281,152033.5000,159341.9844,187500.0000,187500.0000,187500.0000,187500.0000,149982.4531,149943.2969,158022.8750,155094.1250,187500.0000,171532.6250,187500.0000,175279.8438,158618.6094,157886.4063,137040.5000,187500.0000,187500.0000,187500.0000,28.375061,NaN,NaN,NaN
152511.3750,161705.5469,152198.3125,158560.0000,187500.0000,187500.0000,187500.0000,187500.0000,150214.8281,150067.1719,158317.1094,154888.2813,187500.0000,171523.3906,187500.0000,175187.9844,158335.5313,157675.1406,137004.4375,187500.0000,187500.0000,187500.0000,28.379059,NaN,NaN,NaN
152808.5625,163490.4219,152010.5000,159249.8281,187500.0000,187500.0000,187500.0000,187500.0000,149964.0625,149905.2344,158004.7656,155064.1719,187500.0000,171520.5313,187500.0000,175224.2344,158607.0625,157866.3594,136964.3594,187500.0000,187500.0000,187500.0000,28.383057,NaN,NaN,NaN
