Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
-209.3911,-491.0231,3031.7458,3873.6018,144059.0938,157306.1563,172125.2500,131352.3750,3666.7141,3790.9004,2772.5996,4269.2949,123216.9609,113608.6797,132502.4531,144390.2031,4219.1377,4436.6646,4170.2095,76966.6875,119901.5469,159986.9844,158.207031
-2276.6145,-2223.7080,2291.2996,3855.0276,144040.8438,157374.3125,172115.9375,131624.5156,3612.6677,3799.5952,1868.2928,4301.7944,123174.1563,113684.6563,132473.8438,144738.1563,4181.3628,4545.3164,4208.6768,76870.6406,120015.5391,159939.1719,158.211029
2663.4114,2456.9707,3833.4583,3932.8340,144081.2188,157098.5625,172122.5938,130533.4453,3885.6719,3805.6301,4016.8989,4139.3643,123279.9219,113386.8203,132601.9688,143626.1875,4178.2114,3924.4075,4043.5645,77122.6328,119338.3750,160106.9063,158.215027
5116.2021,4533.0898,4406.6685,3991.1050,144122.5469,156827.8594,172129.9063,129486.9609,4119.8511,3781.6021,4814.8560,3983.7737,123393.1328,113090.9688,132712.1875,142471.3750,4213.6611,3027.8789,3889.0469,77397.6484,118754.3906,160270.3438,158.219025
4397.7280,3863.5659,4201.5913,3962.2266,144104.0625,156973.0313,172132.7500,130032.7891,3981.1584,3789.7158,4476.1826,4079.2827,123345.9531,113246.0234,132646.7656,143008.2031,4236.3037,3527.2393,3978.3870,77286.1172,119118.5625,160185.2031,158.223022
-134.2669,-446.1855,3040.7537,3885.0012,144059.3281,157305.1563,172127.6094,131334.7813,3669.3516,3809.4971,2778.6123,4278.9063,123217.0234,113605.5313,132502.6406,144378.8594,4221.7524,4436.9775,4171.8413,76966.1250,119887.8047,159982.2188,158.227020
-2197.4670,-2134.7034,2365.9543,3856.3687,144031.2344,157365.5781,172109.7969,131607.0938,3608.3538,3798.7236,1922.8311,4303.1577,123165.6641,113675.9141,132464.0313,144725.3438,4184.3135,4550.4351,4211.8062,76867.3984,120006.4688,159932.1719,158.231018
2738.8708,2545.1484,3838.3308,3930.3083,144068.1250,157088.9063,172113.8594,130517.7578,3882.1626,3796.0859,4011.7134,4138.0454,123268.4766,113377.0078,132589.2188,143615.6094,4180.6699,3917.3218,4047.6548,77117.6953,119330.7734,160097.9219,158.235016
5125.7241,4544.3555,4416.9058,4002.3479,144123.2656,156829.7344,172133.0625,129477.4141,4130.7139,3803.0820,4823.8638,3994.7261,123393.0234,113090.2344,132712.0469,142468.9688,4214.5776,2862.8560,3891.4163,77393.7813,118742.2969,160261.5781,158.239014
4417.8447,3905.0061,4208.7217,3965.0430,144096.2813,156963.3594,172127.7344,130006.7500,3984.1760,3794.0967,4483.3125,4080.4001,123338.8438,113235.2500,132638.7813,142987.2344,4237.5107,3395.3193,3978.1858,77283.2344,119101.1328,160177.3281,158.243011
