blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.004687
64,2290.555573,0,NaN,0.324135
64,2290.811432,0,NaN,0.127749
64,2291.067291,0,NaN,0.122500
64,2291.323151,0,NaN,0.130660
64,2291.579010,0,NaN,0.114186
64,2291.835846,0,NaN,0.084308
64,2292.091705,0,NaN,0.084302
64,2292.347565,0,NaN,0.080372
64,2292.603424,0,NaN,0.077824
64,2292.859283,0,NaN,0.067272
64,2293.115143,0,NaN,0.084198
64,2293.371002,0,NaN,0.085960
64,2293.627838,0,NaN,0.069496
64,2293.883698,0,NaN,0.061222
64,2294.139557,0,NaN,0.044479
64,2294.395416,0,NaN,0.057843
64,2294.651276,0,NaN,0.052942
64,2294.907135,0,NaN,0.064486
64,2295.162994,0,NaN,0.063578
64,2295.419830,0,NaN,0.053927
64,2295.675690,0,NaN,0.055134
64,2295.931549,0,NaN,0.083740
64,2296.187408,0,NaN,0.088443
64,2296.443268,0,NaN,0.053668
64,2296.699127,0,NaN,0.083388
64,2296.954987,0,NaN,0.094957
64,2297.211823,0,NaN,0.057520
64,2297.467682,0,NaN,0.076080
64,2297.723541,0,NaN,0.069575
64,2297.979401,0,NaN,0.072655
64,2298.235260,0,NaN,0.046824
64,2298.491119,0,NaN,0.058266
64,2298.746979,0,NaN,0.057720
64,2299.003815,0,NaN,0.088468
64,2299.259674,0,NaN,0.058287
64,2299.515533,0,NaN,0.074823
64,2299.771393,0,NaN,0.061849
64,2300.027252,0,NaN,0.052098
64,2300.283112,0,NaN,0.070429
64,2300.538971,0,NaN,0.062518
64,2300.795807,0,NaN,0.048736
64,2301.051666,0,NaN,0.060873
64,2301.307526,0,NaN,0.068640
64,2301.563385,0,NaN,0.057763
64,2301.819244,0,NaN,0.065265
64,2302.075104,0,NaN,0.073073
64,2302.330963,0,NaN,0.076355
64,2302.587799,0,NaN,0.062108
64,2302.843658,0,NaN,0.115120
64,2303.099518,0,NaN,0.087119
64,2303.355377,0,NaN,0.056908
64,2303.611237,0,NaN,0.080696
64,2303.867096,0,NaN,0.063644
64,2304.123932,0,NaN,0.085231
64,2304.379791,0,NaN,0.060720
64,2304.635651,0,NaN,0.064079
64,2304.891510,0,NaN,0.049316
64,2305.147369,0,NaN,0.067320
64,2305.403229,0,NaN,0.075645
64,2305.659088,0,NaN,0.093208
64,2305.915924,0,NaN,0.063082
64,2306.171783,0,NaN,0.067031
32,2306.299713,32,2306.299713,0.002683
96,2306.683502,64,2306.683502,0.063189
64,2306.683502,0,NaN,0.079903
64,2306.939362,0,NaN,0.078173
64,2307.195221,0,NaN,0.050229
64,2307.451080,0,NaN,0.066925
64,2307.707916,0,NaN,0.069889
64,2307.963776,0,NaN,0.059775
64,2308.219635,0,NaN,0.055371
64,2308.475494,0,NaN,0.078982
64,2308.731354,0,NaN,0.050880
64,2308.987213,0,NaN,0.067060
64,2309.243073,0,NaN,0.062259
64,2309.499908,0,NaN,0.068379
64,2309.755768,0,NaN,0.061685
64,2310.011627,0,NaN,0.064720
64,2310.267487,0,NaN,0.053310
64,2310.523346,0,NaN,0.064502
64,2310.779205,0,NaN,0.077979
64,2311.035065,0,NaN,0.047133
64,2311.291901,0,NaN,0.063987
32,2311.419830,32,2311.419830,0.001991
96,2311.803619,64,2311.803619,0.066255
64,2311.803619,0,NaN,0.070918
64,2312.059479,0,NaN,0.071262
64,2312.315338,0,NaN,0.072096
64,2312.571198,0,NaN,0.079318
64,2312.827057,0,NaN,0.081863
64,2313.083893,0,NaN,0.083402
64,2313.339752,0,NaN,0.060954
64,2313.595612,0,NaN,0.049965
64,2313.851471,0,NaN,0.095620
64,2314.107330,0,NaN,0.047948
64,2314.363190,0,NaN,0.059544
64,2314.619049,0,NaN,0.046954
64,2314.875885,0,NaN,0.080094
64,2315.131744,0,NaN,0.064562
64,2315.387604,0,NaN,0.053936
64,2315.643463,0,NaN,0.064812
64,2315.899323,0,NaN,0.069271
64,2316.155182,0,NaN,0.056466
64,2316.411041,0,NaN,0.073373
64,2316.667877,0,NaN,0.054377
64,2316.923737,0,NaN,0.057153
64,2317.179596,0,NaN,0.055811
64,2317.435455,0,NaN,0.052181
64,2317.691315,0,NaN,0.091715
64,2317.947174,0,NaN,0.086526
64,2318.203033,0,NaN,0.060706
64,2318.459869,0,NaN,0.065560
64,2318.715729,0,NaN,0.049240
64,2318.971588,0,NaN,0.065124
64,2319.227448,0,NaN,0.055927
64,2319.483307,0,NaN,0.052642
64,2319.739166,0,NaN,0.065490
64,2319.995026,0,NaN,0.082755
64,2320.251862,0,NaN,0.072132
64,2320.507721,0,NaN,0.085533
64,2320.763580,0,NaN,0.055650
64,2321.019440,0,NaN,0.051311
64,2321.275299,0,NaN,0.068324
64,2321.531158,0,NaN,0.059532
64,2321.787018,0,NaN,0.052731
64,2322.043854,0,NaN,0.079181
64,2322.299713,0,NaN,0.090941
64,2322.555573,0,NaN,0.084029
64,2322.811432,0,NaN,0.088347
64,2323.067291,0,NaN,0.140220
64,2323.323151,0,NaN,0.098569
64,2323.579010,0,NaN,0.056126
64,2323.835846,0,NaN,0.072177
64,2324.091705,0,NaN,0.046054
64,2324.347565,0,NaN,0.086440
64,2324.603424,0,NaN,0.084960
64,2324.859283,0,NaN,0.058329
64,2325.115143,0,NaN,0.071253
64,2325.371002,0,NaN,0.072672
64,2325.627838,0,NaN,0.071814
64,2325.883698,0,NaN,0.046336
64,2326.139557,0,NaN,0.074530
64,2326.395416,0,NaN,0.070950
64,2326.651276,0,NaN,0.054154
64,2326.907135,0,NaN,0.061878
64,2327.162994,0,NaN,0.069905
64,2327.419830,0,NaN,0.074784
64,2327.675690,0,NaN,0.070722
32,2327.803619,32,2327.803619,0.001246
96,2328.187408,64,2328.187408,0.066736
64,2328.187408,0,NaN,0.067553
64,2328.443268,0,NaN,0.111209
64,2328.699127,0,NaN,0.058433
64,2328.954987,0,NaN,0.063543
64,2329.211823,0,NaN,0.058667
64,2329.467682,0,NaN,0.082323
64,2329.723541,0,NaN,0.067945
64,2329.979401,0,NaN,0.074066
64,2330.235260,0,NaN,0.054142
64,2330.491119,0,NaN,0.080392
64,2330.746979,0,NaN,0.083104
64,2331.003815,0,NaN,0.065818
64,2331.259674,0,NaN,0.060043
64,2331.515533,0,NaN,0.054544
64,2331.771393,0,NaN,0.065613
64,2332.027252,0,NaN,0.067796
64,2332.283112,0,NaN,0.064533
64,2332.538971,0,NaN,0.071283
64,2332.795807,0,NaN,0.073980
64,2333.051666,0,NaN,0.082479
64,2333.307526,0,NaN,0.051064
64,2333.563385,0,NaN,0.065236
64,2333.819244,0,NaN,0.091006
64,2334.075104,0,NaN,0.063009
64,2334.330963,0,NaN,0.055744
64,2334.587799,0,NaN,0.054269
64,2334.843658,0,NaN,0.086238
64,2335.099518,0,NaN,0.071667
64,2335.355377,0,NaN,0.054435
64,2335.611237,0,NaN,0.047749
64,2335.867096,0,NaN,0.089418
64,2336.123932,0,NaN,0.078905
64,2336.379791,0,NaN,0.054332
64,2336.635651,0,NaN,0.073138
64,2336.891510,0,NaN,0.069134
64,2337.147369,0,NaN,0.061314
