Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
4131.8984,3744.8782,3893.6292,3667.4517,122206.7031,138420.0781,158285.2344,103889.5859,3882.6321,3616.3557,4364.0884,3796.9800,103885.5156,91022.3594,110610.0156,117127.6719,3873.9148,3273.1670,3764.1230,55959.8906,94301.9375,142077.5781,217.215820
4474.8862,3980.1526,3987.8640,3679.8347,122218.4609,138401.6875,158293.1563,103793.9219,3896.3113,3623.5305,4442.8560,3797.2708,103910.3047,90998.8438,110619.9844,116972.5547,3904.4026,3202.7366,3755.2271,56010.3164,94289.3516,142095.5781,217.219818
836.9387,522.8967,2535.0676,3590.2041,122157.8672,138708.5313,158282.9844,105033.8359,3586.2478,3615.5510,3029.3318,3981.5161,103774.4297,91333.8281,110465.3125,118259.7031,3903.0168,4085.3623,3945.1721,55709.7539,95045.2656,141895.8125,217.223816
-2839.5432,-2848.1038,-292.5173,3532.6038,122120.6328,138905.1719,158275.4531,105831.3750,3361.9480,3616.5791,239.2978,4088.4915,103679.5469,91548.7188,110373.5547,119135.1953,3868.7292,4486.1069,4060.4402,55489.3203,95481.4609,141761.3750,217.227814
-304.2296,-254.0723,1993.9543,3582.2468,122142.4688,138742.1719,158274.5000,105179.4375,3558.4199,3631.1973,2522.5508,3989.0486,103736.1406,91374.8672,110453.5547,118511.5391,3846.0422,4102.5957,3957.8008,55623.6328,95047.1719,141860.4219,217.231812
4117.3027,3731.0872,3894.7690,3662.1321,122195.8906,138410.0156,158275.9531,103882.3438,3877.9382,3609.8289,4356.8911,3792.1746,103875.1719,91012.7266,110597.7266,117118.7969,3872.1714,3383.9646,3762.1113,55950.7500,94293.3750,142068.0781,217.235809
4475.2886,3989.1379,3981.4714,3672.2573,122205.0313,138388.4531,158281.4375,103777.6016,3891.7292,3610.5667,4436.5308,3788.9336,103898.4844,90985.3672,110606.5781,116954.5156,3900.7815,3296.2339,3750.4885,56002.1367,94276.4375,142086.5469,217.239807
876.8142,607.2298,2543.5837,3596.3733,122157.5547,138706.7813,158282.6250,105026.7344,3591.7241,3629.4985,3035.5679,3985.3381,103773.2891,91330.3438,110463.6797,118252.1875,3899.9321,4076.8687,3940.9700,55703.6055,95032.3516,141888.5156,217.243805
-2818.1973,-2832.7036,-152.0589,3532.8943,122114.9297,138899.3281,158270.9531,105824.8438,3367.4690,3615.1709,383.9359,4088.8044,103674.4531,91543.0391,110366.8281,119126.9453,3870.0479,4487.4927,4061.3564,55486.4609,95476.0313,141757.3906,217.247803
-2818.1973,-2832.7036,-152.0589,3532.8943,122114.9297,138899.3281,158270.9531,105824.8438,3367.4690,3615.1709,383.9359,4088.8044,103674.4531,91543.0391,110366.8281,119126.9453,3870.0479,4487.4927,4061.3564,55486.4609,95476.0313,141757.3906,217.251801
-264.7787,-259.2355,2045.4751,3580.2129,122134.5078,138736.6875,158268.6563,105176.4219,3563.3821,3622.1895,2623.9607,3988.1992,103729.4375,91369.5000,110445.0859,118506.9531,3848.8584,4108.1836,3960.9077,55621.2852,95046.3438,141856.9531,217.255798
-264.7787,-259.2355,2045.4751,3580.2129,122134.5078,138736.6875,158268.6563,105176.4219,3563.3821,3622.1895,2623.9607,3988.1992,103729.4375,91369.5000,110445.0859,118506.9531,3848.8584,4108.1836,3960.9077,55621.2852,95046.3438,141856.9531,217.259796
4136.2349,3749.0803,3903.0168,3674.8054,122201.6563,138417.3906,158282.2813,103890.4766,3887.1470,3629.9678,4367.5977,3804.8926,103879.6641,91018.2656,110601.5469,117127.5625,3873.8254,3282.8899,3764.6147,55948.4922,94291.1875,142064.4688,217.263794
4490.5098,3993.6531,3991.6414,3678.8958,122205.4297,138387.9844,158282.7031,103774.6953,3895.7078,3616.7356,4445.4268,3795.1919,103899.3516,90984.7422,110605.9922,116950.5391,3905.3191,3211.5657,3754.4895,56002.9414,94272.5469,142085.8125,217.267792
926.8374,598.9821,2564.3262,3588.7290,122149.0859,138697.5781,158275.9531,105013.5469,3582.8057,3616.4897,3041.6030,3982.6113,103767.5469,91322.0234,110455.8594,118236.7891,3904.5591,4082.0989,3944.0547,55704.3008,95026.7813,141887.7344,217.271790
926.8374,598.9821,2564.3262,3588.7290,122149.0859,138697.5781,158275.9531,105013.5469,3582.8057,3616.4897,3041.6030,3982.6113,103767.5469,91322.0234,110455.8594,118236.7891,3904.5591,4082.0989,3944.0547,55704.3008,95026.7813,141887.7344,217.275787
-2824.6123,-2835.9668,-228.4125,3524.2664,122118.3047,138902.8594,158274.7344,105826.7422,3359.3777,3631.3313,284.2471,4097.5889,103677.6250,91545.2969,110368.9063,119128.5547,3872.9089,4489.4819,4063.2788,55484.9844,95472.1016,141755.5156,217.279785
-291.4667,-223.2939,2030.8571,3583.1187,122133.5703,138736.8750,158268.8125,105180.1953,3565.6843,3630.4148,2535.1794,3993.8542,103728.5391,91369.7500,110442.5391,118510.0391,3851.4514,4113.1230,3963.7241,55617.9570,95045.2891,141854.4688,217.283783
-291.4667,-223.2939,2030.8571,3583.1187,122133.5703,138736.8750,158268.8125,105180.1953,3565.6843,3630.4148,2535.1794,3993.8542,103728.5391,91369.7500,110442.5391,118510.0391,3851.4514,4113.1230,3963.7241,55617.9570,95045.2891,141854.4688,217.287781
4122.7119,3745.6157,3899.3735,3665.8201,122187.5938,138404.8594,158270.5000,103881.0938,3879.2346,3611.2817,4357.5396,3797.0024,103867.8359,91007.2031,110587.3984,117116.1875,3875.5242,3362.2163,3766.0229,55943.2617,94287.1641,142060.1563,217.291779
4498.3779,4014.3730,3996.1790,3680.9075,122201.6328,138383.2813,158279.6406,103767.1406,3898.5464,3621.9211,4449.7627,3795.3931,103895.5781,90979.2188,110601.1641,116942.0625,3903.8215,3183.0894,3752.1426,55996.7266,94261.1719,142079.4219,217.295776
4498.3779,4014.3730,3996.1790,3680.9075,122201.6328,138383.2813,158279.6406,103767.1406,3898.5464,3621.9211,4449.7627,3795.3931,103895.5781,90979.2188,110601.1641,116942.0625,3903.8215,3183.0894,3752.1426,55996.7266,94261.1719,142079.4219,217.299774
961.4379,717.4910,2614.0588,3597.3567,122146.8281,138693.5156,158274.1719,105005.6328,3595.4568,3626.2129,3074.9517,3984.1760,103764.5703,91316.8203,110451.7891,118227.7344,3902.7932,4060.9766,3941.2383,55698.2891,95014.3750,141881.1406,217.303772
-2809.1001,-2822.3323,-136.7703,3534.8164,122105.5156,138890.2500,158264.0469,105813.9844,3393.9783,3616.5344,394.0836,4090.0562,103666.5625,91533.5859,110355.6563,119113.0703,3873.3337,4489.5713,4063.2563,55479.8203,95464.7656,141750.3125,217.307770
-308.8340,-305.8166,1962.1702,3584.6162,122127.6484,138732.4844,158263.8906,105177.9375,3574.1333,3632.2478,2604.2910,3993.3625,103722.3281,91364.7891,110435.0938,118507.0000,3849.4172,4113.1230,3961.9360,55609.8867,95038.5000,141846.2656,217.311768
4127.0259,3745.7722,3886.3647,3671.6316,122187.5313,138405.5781,158271.0000,103883.4844,3883.8613,3624.6257,4361.0488,3803.0151,103866.4766,91006.9766,110585.0938,117118.5781,3875.0994,3392.3242,3765.4866,55936.8906,94281.2422,142053.2188,217.315765
4488.6772,3988.9817,3993.3848,3675.8113,122191.0391,138372.3750,158270.7031,103753.3984,3895.1042,3609.0466,4446.4321,3790.4758,103886.7500,90968.7813,110590.3516,116926.2422,3905.2744,3287.0698,3752.6565,55993.8672,94253.8125,142075.3281,217.319763
927.5750,610.6273,2641.7078,3596.0156,122142.8047,138688.7188,158271.2031,104995.5078,3590.6511,3625.6541,3079.1538,3985.4946,103761.8438,91311.5234,110447.5391,118216.1797,3905.1401,4071.4373,3942.3335,55697.5508,95006.9141,141878.6719,217.323761
-2807.0884,-2824.3887,-108.6742,3523.4395,122103.9063,138888.3438,158262.8594,105810.6953,3357.7236,3625.3186,398.8669,4094.4148,103664.8203,91530.9922,110352.5703,119108.9531,3872.7078,4488.5879,4061.9824,55475.1953,95457.2344,141744.0000,217.327759
-320.8146,-313.2373,2018.7201,3576.0107,122115.4688,138722.1406,158253.6563,105170.5000,3561.0574,3618.5686,2605.8557,3988.6240,103711.3984,91355.0156,110422.0625,118497.1172,3849.0374,4114.7100,3961.8018,55603.3359,95033.1563,141838.2188,217.331757
4503.4292,4002.5938,3999.1963,3680.8403,122189.4688,138369.8594,158269.8594,103748.6172,3898.2334,3618.9707,4452.9590,3793.9626,103884.7578,90965.4688,110587.3281,116920.4297,3904.0896,3206.6929,3751.6509,55988.3477,94243.0000,142067.8594,217.335754
-2824.0310,-2850.5850,-171.0355,3529.5862,122094.9922,138880.0781,158255.5156,105801.0859,3338.0542,3619.1497,353.2246,4090.7937,103656.3438,91521.8516,110342.8438,119097.6641,3870.4727,4485.6147,4059.1660,55467.1484,95445.8828,141734.5469,217.339752
4088.1563,3715.0610,3880.1287,3666.4236,122170.3359,138391.5625,158257.5156,103873.8047,3876.7087,3612.1089,4351.3926,3798.8352,103851.2969,90993.4375,110566.7031,117106.8438,3874.5854,3393.3970,3765.8442,55925.2695,94270.6719,142040.9219,217.343750
4501.9541,4001.0291,3999.3081,3679.7229,122182.4063,138362.6875,158264.4531,103737.8594,3899.0159,3615.4392,4453.5625,3791.9063,103879.1953,90958.1406,110580.3984,116909.0313,3904.2461,3277.1233,3750.3542,55984.9727,94234.7031,142064.5313,217.347748
949.0997,634.6554,2681.3599,3599.1895,122130.1953,138673.5938,158260.9375,104972.2344,3597.4907,3626.4810,3131.2112,3982.8350,103750.4453,91295.8281,110433.5469,118189.9219,3902.7263,4061.6248,3937.3713,55687.1328,94982.9766,141865.2031,217.351746
-2809.7483,-2825.0815,-92.5809,3533.8555,122086.0078,138871.2969,158248.1094,105791.5859,3370.4419,3613.5171,404.0972,4088.4468,103647.9844,91513.0469,110332.7422,119085.5938,3870.4055,4484.8325,4058.3613,55461.8750,95437.4531,141727.2500,217.355743
-384.1371,-383.6006,2006.4490,3582.1128,122107.0391,138717.3281,158247.9375,105170.6094,3559.8057,3626.1458,2586.8567,3993.3848,103702.6563,91348.9609,110410.9297,118496.0000,3848.0540,4117.7725,3961.5784,55590.4609,95022.7578,141823.9531,217.359741
4510.1797,4009.1428,3999.0845,3677.2642,122173.9375,138353.6875,158257.0938,103726.1953,3896.3784,3609.9631,4452.2661,3788.7993,103871.5469,90949.0469,110571.1484,116895.7734,3903.3296,3287.2039,3748.6555,55979.7188,94224.7813,142058.0469,217.363739
995.3008,661.5446,2592.7129,3594.8533,122125.4141,138668.3438,158257.2969,104961.4844,3594.7861,3623.7542,3054.4329,3982.2314,103747.1172,91289.9531,110428.7891,118178.1172,3904.8271,4061.8481,3938.2207,55685.9727,94975.3047,141863.2969,217.367737
-2816.5208,-2843.0747,-168.9121,3525.8982,122090.5469,138875.9219,158253.0938,105794.2891,3343.6643,3631.5996,328.5483,4097.5889,103652.3203,91516.6016,110336.2344,119089.0156,3872.7971,4486.7549,4060.2166,55460.6211,95434.1484,141726.6250,217.371735
-382.9077,-374.1235,1997.1283,3576.2119,122099.4609,138711.3281,158242.0469,105167.6797,3540.6057,3621.4072,2559.4980,3992.2002,103695.7734,91343.1484,110402.1719,118491.4844,3849.4172,4121.9072,3963.2771,55585.4336,95019.5391,141819.0938,217.375732
4089.0503,3706.9697,3888.9575,3668.7258,122159.8359,138384.2969,158249.4219,103869.8750,3876.2170,3616.4226,4348.4868,3801.2717,103839.7188,90984.1797,110552.6875,117100.7188,3873.5571,3293.9766,3765.4641,55910.9883,94256.7656,142024.0781,217.379730
4524.0151,4021.3691,4009.3887,3686.3838,122176.2188,138355.6094,158259.8281,103725.4141,3903.9556,3626.6821,4462.4360,3795.8401,103872.6406,90948.9766,110571.6875,116894.3438,3905.0955,3116.8167,3748.5886,55974.6875,94214.9219,142051.3438,217.383728
1034.9304,696.7262,2685.1372,3602.5200,122120.7891,138662.5313,158254.0313,104951.8516,3603.1682,3623.9553,3141.1575,3982.4773,103743.6484,91284.1406,110423.8281,118166.4922,3907.9565,4060.7529,3939.9641,55683.9844,94966.8828,141860.2344,217.387726
-2799.9136,-2821.4382,-128.4108,3542.7068,122082.6094,138868.5938,158247.1094,105785.6406,3385.4846,3623.9329,354.3645,4095.4653,103646.3281,91509.5781,110328.3828,119078.3125,3876.2842,4489.3252,4063.0330,55458.8555,95429.2969,141724.2188,217.391724
-356.3539,-322.6698,1933.9623,3591.6794,122103.9766,138717.6719,158247.2344,105176.2656,3567.0254,3642.5071,2454.3108,4003.2866,103699.2578,91348.2031,110405.0547,118500.8516,3851.4514,4126.1094,3965.5793,55581.8125,95017.5547,141815.4844,217.395721
4094.6382,3714.6140,3894.8137,3672.7043,122157.8906,138383.5625,158248.8750,103871.5938,3879.4358,3622.6365,4346.7437,3805.9431,103838.7813,90984.3594,110550.4531,117103.0859,3876.1052,3402.5613,3768.5935,55909.1094,94256.2266,142023.2188,217.399719
4529.3574,4028.2759,4005.0300,3680.2371,122164.3750,138343.4063,158250.0469,103710.2344,3899.9771,3611.5276,4457.9214,3789.9392,103863.4531,90937.9766,110560.5313,116877.3359,3905.4756,3281.3030,3749.0579,55972.3633,94207.3906,142048.2344,217.403717
1104.3997,768.0953,2647.4299,3602.7881,122118.3906,138659.1094,158252.1094,104943.5156,3604.7773,3633.9241,3101.1479,3985.5618,103740.9453,91279.2031,110420.2031,118157.4375,3905.1401,4056.4839,3936.4551,55677.7227,94953.5156,141851.2656,217.407715
-2781.9651,-2809.1226,-39.7190,3533.5647,122075.5938,138861.2344,158240.9063,105777.4141,3389.5750,3626.5928,437.3342,4094.8618,103639.0000,91501.5547,110319.5547,119068.0938,3873.1772,4485.8159,4059.4343,55450.5391,95417.4453,141713.3594,217.411713
-393.2566,-363.1488,2017.9377,3578.4917,122085.8516,138701.2344,158231.4375,105162.3594,3559.6045,3618.9707,2560.5710,3992.5803,103683.2109,91332.9766,110386.6094,118484.3828,3848.5679,4125.2603,3962.9866,55573.0938,95009.6406,141805.7656,217.415710
4085.9658,3712.0212,3893.3608,3674.6489,122153.8438,138381.1719,158246.0938,103870.0938,3879.6370,3626.8162,4350.6104,3808.5137,103834.6016,90980.9609,110545.3125,117101.5234,3874.7417,3300.3245,3767.4534,55902.4727,94249.7266,142015.7813,217.419708
4535.5713,4037.6189,4013.6580,3686.5400,122164.3750,138342.5469,158250.6563,103706.4609,3903.9331,3622.2341,4465.6323,3794.9460,103863.0781,90936.0781,110559.3438,116873.3984,3906.5483,3103.4949,3748.9238,55969.0781,94199.5938,142044.3438,217.423706
1104.8243,794.6045,2724.9011,3599.1448,122106.4766,138646.0313,158242.1406,104926.1484,3597.9377,3618.0767,3145.4492,3978.3420,103731.4219,91267.0859,110408.8281,118137.9922,3906.4365,4051.6111,3936.3879,55675.4883,94944.7734,141848.8438,217.427704
-2776.6453,-2800.4275,-67.9940,3530.9050,122071.6563,138857.3906,158238.2969,105772.2031,3359.3330,3627.9785,401.2138,4096.0464,103635.4922,91497.2891,110314.5313,119061.4375,3875.0325,4486.9785,4060.8872,55447.0313,95410.8984,141708.7813,217.431702
4084.5354,3705.7180,3879.3462,3665.0601,122138.2891,138367.2656,158232.8438,103858.8516,3870.9197,3610.5667,4333.9360,3799.3718,103820.1797,90967.6406,110528.8828,117088.1563,3871.5007,3385.7751,3765.0842,55892.3438,94240.3125,142005.0313,217.435699
