Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
73.5372,-143.8335,3679.5664,2832.6140,78438.6172,85515.9844,105857.2578,64460.5977,3440.6709,3203.2732,3475.6738,3454.8420,80860.9219,70235.0547,74665.6641,83842.2813,3707.4167,3544.9641,3620.2673,79182.8438,73425.3906,-2814.7998,349.567383
3693.0444,3844.6340,-1446.6495,-336.1479,78484.7500,85706.3750,105777.9531,64623.6055,2932.6829,3419.9509,3496.4832,3557.2354,80632.9766,71299.1328,74391.8125,84477.2109,2135.1504,3371.5371,3301.8889,80100.1797,73414.4844,-2952.6206,349.571381
3978.3645,4149.4673,-2436.4294,-831.4625,78494.4922,85758.4766,105784.1641,64689.0547,2799.4441,3504.9099,3486.7156,3597.3120,80596.8984,71489.5078,74357.5234,84635.3281,1569.9418,3340.8704,3201.8425,80212.8281,73421.7422,-2952.7100,349.575378
1517.9069,1067.9216,2243.7798,2431.2661,78445.5234,85598.7500,105857.6094,64557.8242,3401.1306,3323.6597,3458.8430,3517.4939,80796.1016,70533.0703,74594.9844,84095.3281,3459.7371,3517.1809,3586.2031,79381.2344,73434.4375,-2797.7007,349.579376
-2158.2397,-2387.8367,5166.0469,3445.4766,78411.2109,85449.8438,105909.7578,64407.3555,3581.0623,3125.2432,3459.0442,3434.7031,80975.9609,69674.8125,74799.2813,83570.0625,3962.6736,3633.7007,3764.6594,78703.3750,73436.0078,-2718.9331,349.583374
86.3448,-58.7180,3635.0193,2791.8223,78441.3438,85540.2109,105861.5469,64464.4609,3447.5105,3220.4392,3483.8098,3491.1189,80865.1875,70205.5781,74662.7344,83852.1172,3700.7559,3545.4558,3617.8308,79188.2734,73422.4141,-2834.1116,349.587372
3699.9512,3866.1365,-1509.8827,-299.9157,78482.7578,85714.8438,105776.2500,64622.2656,2970.4126,3427.3716,3499.0090,3575.1614,80633.2422,71280.9141,74387.5000,84478.2813,2173.6848,3381.5505,3352.8958,80101.3594,73411.8672,-2956.4875,349.591370
3970.7427,4136.6821,-2422.5491,-743.5308,78480.6563,85743.2578,105769.7500,64675.2852,2838.4033,3483.2288,3476.0537,3586.4714,80587.9375,71478.7109,74346.9531,84618.1172,1693.9269,3364.1609,3324.8889,80205.1875,73417.7422,-2942.4060,349.595367
-2160.3408,-2402.2312,5176.6191,3443.9343,78410.9922,85427.7578,105903.3672,64404.6719,3584.7502,3134.7874,3461.7039,3409.2444,80975.9844,69709.9219,74804.5391,83560.6719,3966.8311,3630.9290,3765.5088,78686.0313,73427.3984,-2728.6338,349.599365
129.0813,-89.7870,3655.2700,2814.5315,78433.0703,85507.9609,105847.3984,64454.5625,3439.9780,3205.4858,3476.1655,3452.6292,80857.7031,70245.9609,74659.9453,83835.1797,3691.6362,3545.8582,3621.6978,79174.8125,73417.3203,-2825.7075,349.603363
