blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
64,217.467682,0,NaN,0.085052
64,217.723541,0,NaN,0.032727
64,217.979401,0,NaN,0.034275
64,218.235260,0,NaN,0.031069
64,218.491119,0,NaN,0.039997
64,218.746979,0,NaN,0.032647
64,219.003815,0,NaN,0.041473
64,219.259674,0,NaN,0.036309
64,219.515533,0,NaN,0.029970
64,219.771393,0,NaN,0.045696
64,220.027252,0,NaN,0.072117
96,220.411041,32,220.411041,0.253928
32,220.538971,0,NaN,0.144823
64,220.795807,0,NaN,0.074514
64,221.051666,0,NaN,0.074556
64,221.307526,0,NaN,0.037523
64,221.563385,0,NaN,0.042026
64,221.819244,0,NaN,0.039171
32,221.947174,32,221.947174,0.004158
96,222.330963,64,222.330963,0.040090
64,222.330963,0,NaN,0.038359
64,222.587799,0,NaN,0.040650
64,222.843658,0,NaN,0.082514
64,223.099518,0,NaN,0.023166
64,223.355377,0,NaN,0.031947
64,223.611237,0,NaN,0.036564
64,223.867096,0,NaN,0.034327
