Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
121234.0938,120529.8516,123063.0703,126098.7266,186605.7969,187500.0000,187500.0000,187500.0000,112386.3750,78784.7578,120769.0000,124255.4219,187500.0000,183575.8594,187500.0000,168033.5625,146520.1719,137924.2500,144640.7656,187500.0000,187500.0000,187500.0000,30.703735,NaN,NaN,NaN
120884.9609,118025.6563,123357.0625,125140.3516,186878.0781,187500.0000,187500.0000,187500.0000,112739.4688,78910.8828,121249.6250,123958.7500,187500.0000,183527.3906,187500.0000,167818.4844,146147.2500,137685.0156,144542.6094,185343.6094,187500.0000,187500.0000,30.707733,NaN,NaN,NaN
120943.9688,118404.4297,123305.8516,125247.1719,186841.2813,187500.0000,187500.0000,187500.0000,112676.0547,78869.1797,121171.0156,123984.6719,187500.0000,183528.6719,187500.0000,167814.8594,146202.9844,137714.4844,144522.8281,185769.8125,187500.0000,187500.0000,30.711731,NaN,NaN,NaN
121303.3359,121071.8203,122968.9453,126237.0391,186543.9219,187500.0000,187500.0000,187500.0000,112270.7734,78693.4688,120634.6641,124278.0391,187500.0000,183571.5781,187500.0000,168016.1719,146590.9844,137953.6406,144593.7188,187500.0000,187500.0000,187500.0000,30.715729,NaN,NaN,NaN
121442.0078,122264.2188,122803.7656,126701.5078,186400.3750,187500.0000,187500.0000,187500.0000,112078.0391,78609.5625,120377.2188,124411.9531,187500.0000,183592.5938,187500.0000,168133.4844,146756.0938,138055.6719,144645.3125,187500.0000,187500.0000,187500.0000,30.719727,NaN,NaN,NaN
121191.1328,120507.4844,123015.7031,126061.6406,186599.1094,187500.0000,187500.0000,187500.0000,112335.3047,78727.6484,120718.1016,124220.8203,187500.0000,183573.4844,187500.0000,168027.6250,146492.0469,137891.0156,144608.5469,187500.0000,187500.0000,187500.0000,30.723724,NaN,NaN,NaN
120848.2969,117996.5547,123320.0000,125106.4844,186881.1406,187500.0000,187500.0000,187500.0000,112698.1875,78871.4766,121209.9531,123930.3594,187500.0000,183532.0000,187500.0000,167819.7813,146118.5156,137651.9219,144512.0000,185349.2188,187500.0000,187500.0000,30.727722,NaN,NaN,NaN
120892.7344,118333.0625,123262.4922,125191.0859,186837.6406,187500.0000,187500.0000,187500.0000,112629.8984,78811.2188,121127.3594,123943.1484,187500.0000,183523.9688,187500.0000,167802.9844,146167.5938,137676.5313,144489.1563,185737.5625,187500.0000,187500.0000,30.731720,NaN,NaN,NaN
121251.0781,121000.6953,122923.9531,126179.7969,186538.9531,187500.0000,187500.0000,187500.0000,112224.1484,78635.3359,120589.5156,124235.5547,187500.0000,183563.7344,187500.0000,168003.3438,146553.2500,137913.2969,144557.0469,187500.0000,187500.0000,187500.0000,30.735718,NaN,NaN,NaN
121399.8281,122222.8906,122763.2656,126659.6406,186400.3594,187500.0000,187500.0000,187500.0000,112034.1172,78566.7578,120334.9297,124378.9141,187500.0000,183588.1406,187500.0000,168129.8906,146722.4375,138018.3125,144609.8594,187500.0000,187500.0000,187500.0000,30.739716,NaN,NaN,NaN
121143.2109,120477.5078,122964.6719,126018.8203,186588.9531,187500.0000,187500.0000,187500.0000,112280.7188,78665.9141,120663.3828,124181.8359,187500.0000,183561.8906,187500.0000,168017.5938,146461.1563,137855.7188,144573.6719,187500.0000,187500.0000,187500.0000,30.743713,NaN,NaN,NaN
120802.5469,117963.0703,123272.7500,125064.5313,186875.3125,187500.0000,187500.0000,187500.0000,112649.1875,78814.8828,121160.0625,123893.1641,187500.0000,183524.2813,187500.0000,167813.8281,146088.5156,137618.1719,144479.1719,185361.7813,187500.0000,187500.0000,30.747711,NaN,NaN,NaN
120850.5156,118273.6484,123227.9375,125144.6172,186844.0625,187500.0000,187500.0000,187500.0000,112593.2188,78776.3281,121093.0938,123909.1484,187500.0000,183523.3438,187500.0000,167803.1406,146132.8125,137639.8906,144455.6094,185712.1250,187500.0000,187500.0000,30.751709,NaN,NaN,NaN
121198.6641,120923.6250,122881.5234,126120.6953,186537.0625,187500.0000,187500.0000,187500.0000,112179.4688,78580.2344,120547.5547,124191.1797,187500.0000,183557.0781,187500.0000,167992.4844,146517.1719,137875.8750,144523.0469,187500.0000,187500.0000,187500.0000,30.755707,NaN,NaN,NaN
