Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
14544.1904,-7909.7681,-8015.1787,-8385.3457,70945.3984,-11508.3984,84757.0313,-11455.6260,-8422.2939,-9357.6914,-6567.8140,-8577.9736,100948.0938,-11521.1836,-11468.9707,-11484.7285,37350.8359,-9213.1650,-9645.3135,-11589.5137,-11516.0879,79752.2031,7.167969
8465.9688,5170.6514,5033.9478,4500.7471,71129.8672,-5279.7056,84957.9297,-5231.0234,4033.4617,2981.2532,6818.7568,4260.6001,101171.9063,-5289.7412,-5246.7363,-5257.3091,37577.1719,3124.5056,2624.0276,-5363.7256,-5288.5117,79790.0234,7.171967
13048.1875,-5144.0078,-5118.0127,-5760.8491,70644.0078,-9611.6748,84606.4219,-9559.9082,-6068.2749,-6423.4663,-3265.0532,-5831.7266,100959.8750,-9623.4092,-9574.1230,-9588.2500,37198.6641,-6528.8550,-6653.1528,-9693.2363,-9619.6768,79597.9766,7.175964
22463.7480,-18685.9902,-18724.9277,-18807.2930,70144.1953,-18805.4375,84165.4453,-18749.3125,-18695.3105,-18711.0020,-18558.5859,-18769.7422,100587.5625,-18823.3652,-18760.0195,-18780.1816,36720.0273,-18780.0684,-18799.8730,-18886.5742,-18812.5918,79436.7109,7.179962
23695.4414,-19900.2500,-19946.9648,-19999.0879,70334.8594,-19958.8105,84248.5078,-19902.4844,-19874.0977,-19882.3457,-19884.3125,-19959.2793,100567.0625,-19977.8984,-19912.6328,-19933.5977,36799.5078,-19950.8086,-19967.1699,-20040.2148,-19966.0742,79531.5469,7.183960
15022.3838,-8116.8120,-8156.7993,-8670.2188,70920.8516,-11398.6514,84719.9922,-11345.9463,-8713.0898,-9506.2188,-6503.1729,-8873.3291,100935.2422,-11411.3926,-11359.4248,-11375.1152,37305.4609,-9489.3877,-9823.0547,-11479.6543,-11406.3633,79728.6016,7.187958
9385.1846,4225.6865,4184.4028,3556.4082,70980.3750,-6001.1304,84841.2734,-5951.6211,3127.7241,2176.5681,5975.0459,3305.1523,101138.4219,-6011.5015,-5967.6025,-5978.8457,37463.7344,2190.8955,1728.9968,-6084.3457,-6009.8027,79710.8125,7.191956
13824.3301,-7157.7212,-7150.4346,-7492.1479,70423.1484,-10680.7139,84443.3438,-10628.2314,-7644.6318,-7834.1299,-6114.7441,-7507.7046,100911.1719,-10692.8281,-10642.0898,-10656.9766,37065.6523,-7943.8096,-8029.6406,-10761.7383,-10688.4023,79493.3984,7.195953
22623.2285,-19530.3730,-19575.4121,-19628.4063,69968.2891,-19594.9023,84035.8984,-19538.6211,-19505.6738,-19513.1836,-19523.5781,-19587.4590,100559.2891,-19613.4316,-19548.9238,-19569.5098,36625.5000,-19581.7813,-19599.1484,-19676.1055,-19601.8984,79353.0938,7.199951
23041.5859,-19836.1895,-19883.9766,-19940.3477,70300.3203,-19934.0449,84219.2031,-19877.7188,-19814.6875,-19844.4375,-19794.0117,-19905.6582,100587.2734,-19953.1113,-19887.8438,-19908.7656,36789.8086,-19906.2402,-19933.3750,-20015.4063,-19941.0859,79507.6797,7.203949
13823.1006,-6244.9878,-6333.2324,-6613.9033,71016.0469,-10477.8047,84776.0703,-10425.8369,-6605.4321,-7425.5620,-4977.7559,-6778.1440,100981.8047,-10490.2764,-10439.6279,-10454.4023,37375.2461,-7204.4585,-7706.3223,-10559.4551,-10485.7842,79764.5703,7.207947
