Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
3900.9380,3209.2410,3370.3301,1036.0704,41401.2188,43508.8086,56496.8477,44657.4883,4912.4438,424.1243,3264.2710,3157.5637,69161.4141,51005.1797,56623.7383,42180.4883,3204.9270,3373.8840,2952.7324,30047.2031,36969.9844,68096.5781,330.367188
-1240.3206,357.5385,3148.8242,3605.1350,41269.0078,45317.7148,56598.9063,46511.8789,-1256.9727,3639.6238,-61.1767,3767.7441,69811.2891,51733.7148,56681.2500,43087.5469,-390.1050,3287.3604,3673.1067,29623.6602,37151.2813,68277.7188,330.371185
-996.0831,-382.2595,3213.8455,3515.2810,41314.3359,45330.2539,56626.8242,46613.0195,-1216.7618,3613.0476,409.5287,3605.0681,69933.3281,51526.6719,56732.8594,42869.0352,200.6069,3305.1748,3683.5449,29629.9414,37145.4922,68270.4531,330.375183
4463.7773,2958.9463,3449.9246,552.4457,41417.8047,43465.0000,56525.4805,44762.4531,4900.1504,334.6280,3458.4182,2224.8701,69278.8906,50609.6680,56630.9375,41766.6680,3555.9165,3408.5068,3060.1995,30147.9199,36961.1992,68097.5625,330.379181
5984.7017,3660.7239,3448.7847,-2285.5999,41446.3672,42482.5977,56444.6563,43676.9609,7954.6504,-2494.0522,3939.1147,1689.8812,68833.6250,50431.4805,56656.2383,41473.5273,3980.8008,3419.8169,1857.0499,30324.4102,36864.7773,67993.8047,330.383179
3875.3677,3214.7173,3371.0901,975.4748,41402.0469,43525.0586,56499.2617,44673.8047,4868.2993,498.8909,3259.9124,3130.8535,69166.9531,51015.1055,56624.6328,42191.1523,3208.3916,3369.8831,2839.5879,30040.4980,36966.4766,68094.3203,330.387177
-1258.3137,341.0205,3142.1411,3606.8562,41262.3242,45322.6523,56594.5273,46517.1289,-1281.6937,3646.4412,-47.2069,3759.3174,69811.1094,51734.8984,56677.3828,43084.2813,-378.5715,3287.5840,3672.1233,29622.6992,37152.2852,68280.3750,330.391174
-896.4614,-449.6947,3218.9863,3494.8740,41317.8672,45324.1719,56629.5508,46606.6484,-1164.6599,3604.0623,368.3791,3595.7920,69933.9766,51525.8203,56735.4102,42863.8711,26.8668,3310.2710,3685.3779,29637.6074,37148.0625,68274.6563,330.395172
-896.4614,-449.6947,3218.9863,3494.8740,41317.8672,45324.1719,56629.5508,46606.6484,-1164.6599,3604.0623,368.3791,3595.7920,69933.9766,51525.8203,56735.4102,42863.8711,26.8668,3310.2710,3685.3779,29637.6074,37148.0625,68274.6563,330.399170
4533.8726,2979.9568,3457.0325,507.6751,41423.7930,43458.0703,56530.1523,44754.3164,4960.2095,359.3266,3450.0139,2205.7817,69278.8516,50610.9414,56635.6758,41765.6406,3528.5356,3411.7253,3079.0420,30153.5977,36961.8047,68098.6094,330.403168
5977.1914,3655.2700,3444.7166,-2230.2346,41441.4961,42479.6914,56440.8555,43673.2070,7949.5986,-2479.9260,3934.0410,1680.2477,68830.7422,50431.9258,56652.3711,41471.3359,3980.4656,3422.1860,2001.7775,30324.7227,36867.2344,67994.9844,330.407166
3837.2581,3194.6230,3369.7712,993.3562,41401.1523,43540.0586,56501.1172,44688.7813,4819.1255,439.3235,3236.8455,3146.3208,69173.5938,51024.6484,56625.2813,42201.4766,3174.3499,3373.3252,2973.8325,30039.7148,36972.1328,68098.4063,330.411163
-1293.1155,311.1139,3146.1196,3591.1653,41266.7969,45337.5625,56600.6484,46533.0000,-1314.7520,3643.2896,-53.1301,3761.3291,69820.4766,51742.8125,56683.1484,43094.9219,-459.2389,3289.2603,3681.6450,29621.3359,37155.8633,68282.2500,330.415161
-927.0162,-394.3295,3214.5383,3477.4172,41311.5664,45306.6484,56623.2695,46590.7773,-1144.6105,3573.2615,487.1115,3570.2664,69925.9297,51513.3047,56728.3906,42851.0859,172.5108,3308.7510,3682.9192,29638.1445,37146.6328,68271.3906,330.419159
4528.4409,2993.6584,3455.9595,387.2440,41421.3555,43440.3672,56527.0469,44736.9688,4995.7041,196.0248,3474.6455,2062.7529,69271.5391,50601.7539,56633.7734,41757.3711,3564.1643,3410.7866,3063.1277,30155.5859,36961.0430,68096.3047,330.423157
5979.8735,3662.8696,3452.4055,-2215.5496,41449.0508,42486.1484,56448.1211,43679.7773,7959.0313,-2514.9512,3942.4675,1615.0476,68837.9141,50438.2969,56660.5313,41482.8477,3982.2761,3424.1306,1926.4073,30326.1523,36871.7500,67998.8984,330.427155
5979.8735,3662.8696,3452.4055,-2215.5496,41449.0508,42486.1484,56448.1211,43679.7773,7959.0313,-2514.9512,3942.4675,1615.0476,68837.9141,50438.2969,56660.5313,41482.8477,3982.2761,3424.1306,1926.4073,30326.1523,36871.7500,67998.8984,330.431152
3801.9199,3197.5288,3367.2454,1103.9080,41398.3789,43552.1250,56500.8945,44701.8789,4773.4609,487.9162,3234.1409,3154.2781,69178.2656,51028.4961,56624.9023,42211.3125,3191.4714,3374.3979,2973.7429,30037.4805,36977.4727,68102.9219,330.435150
-1328.0065,239.5213,3144.1750,3613.8298,41265.0742,45346.6133,56600.6484,46542.6797,-1350.6935,3652.3867,-139.2067,3767.7888,69824.3672,51741.7813,56685.2969,43101.0000,-442.5869,3289.7966,3684.2378,29619.1445,37158.1406,68284.1953,330.439148
-861.3021,-413.7531,3225.1555,3492.4822,41321.1094,45304.9961,56631.0938,46589.8164,-1066.8934,3582.8057,419.6316,3587.2761,69931.2109,51510.3984,56737.2422,42855.2656,96.0678,3312.2156,3683.4780,29643.9102,37147.5039,68273.5547,330.443146
4576.5864,3015.1831,3456.6077,412.6355,41421.9844,43427.6719,56527.0898,44722.8203,5073.0859,181.6079,3462.6204,2146.3486,69266.8047,50593.6406,56634.6016,41751.9609,3549.5911,3414.0947,3049.6497,30162.5391,36960.5313,68098.0313,330.447144
5973.9727,3661.2603,3450.1257,-2269.5959,41446.4141,42486.0820,56446.3320,43677.5195,7955.9019,-2482.1836,3941.1936,1665.0038,68835.1484,50435.7500,56657.9141,41484.3672,3982.8796,3422.4766,1804.0316,30325.4824,36867.9258,67997.5391,330.451141
3777.7576,3189.7056,3372.6099,1104.7797,41403.7891,43573.1836,56508.2930,44722.3984,4727.5947,613.2648,3214.8960,3124.3044,69187.7891,51038.1953,56628.5664,42225.8203,3159.8438,3373.9734,2850.2498,30036.1387,36976.0664,68104.6016,330.455139
-1351.1853,226.2444,3140.2412,3615.3499,41262.1680,45354.2344,56600.3164,46550.3438,-1379.3932,3660.5002,-145.4428,3775.7458,69826.3516,51743.3906,56682.1875,43099.1680,-481.5460,3289.4836,3685.4226,29618.4297,37157.4063,68286.0938,330.459137
-851.6238,-413.9767,3222.5403,3492.2588,41317.5781,45290.3984,56627.6055,46575.1328,-1097.2694,3578.7600,527.6353,3586.6501,69924.2578,51503.4688,56730.8047,42840.8711,240.0130,3311.5002,3678.6052,29645.6992,37143.9492,68270.7188,330.463135
4598.0220,2967.8423,3459.8040,442.8104,41424.1953,43414.8438,56528.4297,44710.6172,5072.2144,219.1812,3495.7681,2199.9258,69262.2188,50594.1094,56634.3789,41747.2227,3582.8503,3411.7925,3072.4482,30162.0684,36956.3711,68092.3281,330.467133
5970.5532,3656.6111,3445.0295,-2191.5884,41440.7578,42480.5625,56441.8203,43673.1602,7948.8833,-2488.9561,3936.9468,1824.9976,68830.8125,50438.9219,56652.6836,41479.9414,3976.4421,3422.7449,2019.8376,30321.9277,36868.3281,67994.7422,330.471130
3699.3923,3152.0205,3363.2446,1162.6930,41393.5977,43578.8164,56500.9375,44728.7656,4652.2251,581.9277,3169.3879,3196.9922,69185.6406,51042.7109,56621.3711,42223.7383,3062.9712,3370.1736,2998.3298,30027.3105,36975.6836,68100.5313,330.475128
-1425.8401,181.4515,3142.0740,3624.8716,41263.3984,45365.5664,56602.0820,46562.9063,-1432.3221,3679.6111,-172.1531,3777.9587,69831.8125,51753.1172,56685.9453,43106.9258,-589.0802,3285.3264,3684.8191,29610.5176,37155.8633,68281.0703,330.479126
-819.1691,-304.7884,3221.1992,3479.2278,41332.0859,45291.1367,56633.4414,46570.9961,-1025.5874,3562.3984,609.4650,3586.2703,69922.0859,51503.5586,56731.5859,42840.8945,339.3889,3318.2505,3687.6802,29646.4355,37141.2656,68266.6719,330.483124
4619.7256,3035.8809,3458.5522,414.2672,41470.3984,43441.9336,56553.0195,44719.2461,5149.0371,164.2630,3516.1082,2179.6973,69266.7344,50602.7383,56645.1953,41761.9961,3631.5103,3431.9092,3063.1724,30168.3281,36955.5000,68092.1250,330.487122
5969.7485,3662.7131,3453.9480,-2225.3621,41502.6953,42536.6211,56479.0781,43709.0820,7972.0400,-2462.6929,3953.2859,1734.0035,68850.3438,50462.3008,56673.8984,41517.3789,4001.2527,3438.1228,2026.4985,30321.6602,36865.8242,67994.1406,330.491119
3694.5420,3165.6997,3364.7869,1258.7161,41448.6484,43641.2422,56533.2813,44772.7773,4650.6602,738.3004,3212.5491,3167.8904,69204.6172,51063.5859,56635.1172,42260.3750,3212.6384,3390.6030,3002.7556,30025.3652,36975.0352,68102.2500,330.495117
-1417.6816,167.1910,3136.8884,3647.0669,41312.3047,45417.4258,56628.1211,46594.8906,-1423.6272,3690.4070,-101.1640,3780.3057,69843.8594,51760.9375,56694.9531,43129.0078,-289.3210,3306.1357,3718.7266,29609.3105,37155.1680,68281.7578,330.499115
-796.4597,-383.7571,3230.8999,3502.8088,41376.9453,45319.3008,56658.3633,46584.9219,-1010.7682,3586.6948,644.3113,3588.7512,69932.1719,51504.5195,56744.7500,42854.9766,461.4070,3331.1028,3703.7510,29648.0449,37137.7109,68263.4297,330.503113
4644.4912,2993.2114,3459.1111,483.7811,41477.1914,43432.0742,56553.2422,44706.0117,5182.4531,223.1375,3537.1411,2218.6118,69260.6563,50591.4727,56644.5938,41754.5117,3656.4995,3431.1492,3140.3530,30168.4395,36950.7422,68087.1875,330.507111
5954.7056,3651.2244,3443.6438,-2168.3875,41495.5664,42529.2227,56469.9141,43699.5820,7959.4561,-2469.6440,3942.6465,1882.1062,68841.9844,50450.1211,56665.0469,41506.7852,3997.8999,3437.3406,2279.0732,30319.5371,36864.7773,67992.4844,330.511108
3629.4539,3132.1721,3369.3242,1234.9115,41455.5547,43661.0039,56538.8008,44791.5742,4579.7383,684.7457,3170.4160,3235.3926,69214.6094,51066.6484,56640.0117,42270.2539,3118.6941,3390.8936,3115.2742,30024.2246,36979.0391,68105.2969,330.515106
-1479.9536,135.8539,3142.9680,3651.1350,41320.8203,45430.1641,56634.5352,46610.3164,-1475.5280,3706.6121,-95.7325,3789.2688,69853.6016,51761.0039,56701.3008,43135.6250,-380.9855,3305.4653,3721.0288,29609.3770,37158.9688,68284.1719,330.519104
-739.5298,-300.2733,3225.4907,3452.5845,41372.0273,45295.5391,56650.4492,46566.3281,-964.5001,3532.0002,701.8224,3566.9360,69922.8906,51484.7383,56735.9453,42836.5820,561.0064,3329.1357,3699.4148,29650.5488,37137.0430,68261.0156,330.523102
5961.9478,3657.5947,3449.0081,-2175.4058,41503.4336,42529.4219,56475.1211,43704.5430,7961.4453,-2478.3838,3949.5083,1821.8013,68846.5859,50451.7305,56669.4492,41515.3477,3994.1895,3435.9102,2141.6995,30318.0391,36865.0430,67991.8594,330.527100
3623.7988,3116.9729,3356.2036,1284.0406,41445.8086,43658.9688,56529.6836,44795.2188,4540.5107,698.0002,3153.0710,3238.6111,69209.9609,51062.5586,56629.6641,42269.4492,3139.5037,3385.5068,3124.1033,30016.2012,36975.9766,68102.6563,330.531097
-1476.7126,24.2293,3138.6094,3648.3411,41318.6523,45431.3281,56631.5391,46616.0586,-1496.4045,3704.9133,-209.9946,3781.9822,69854.1797,51759.6211,56699.7109,43136.5859,-486.6422,3301.2185,3718.0784,29604.2813,37155.8164,68282.9219,330.535095
-723.6154,-313.8408,3234.2527,3446.7729,41380.6328,45287.0469,56654.6758,46560.4492,-945.3893,3532.3130,680.7670,3566.4219,69924.6797,51483.2852,56741.4883,42835.7539,478.9084,3328.9124,3694.8325,29655.1094,37135.0313,68262.2500,330.539093
4706.4951,3065.0051,3457.5688,284.1354,41477.8867,43395.7969,56547.1836,44672.4414,5264.3496,35.6287,3552.6084,2128.0200,69247.1094,50574.4648,56641.3281,41736.0039,3674.9172,3428.2209,3084.5630,30175.4570,36947.1875,68084.5547,330.543091
5952.3364,3653.3926,3445.6777,-2141.7664,41501.6680,42530.8516,56471.3672,43701.3008,7955.4102,-2493.3369,3944.2781,1756.9812,68843.6406,50454.9258,56667.1250,41514.1406,3995.1060,3431.9314,2111.5244,30315.5352,36862.4727,67990.0703,330.547089
3604.3528,3126.4277,3364.0044,1265.9580,41454.9727,43685.8359,56538.4883,44816.9883,4505.6870,690.9818,3151.6406,3234.8337,69222.0313,51079.8594,56636.9258,42285.0938,3148.3997,3387.2502,3110.9380,30017.2285,36981.0273,68107.2344,330.551086
-1485.5863,33.7735,3135.0107,3636.9863,41317.0195,45442.5703,56630.1328,46621.8477,-1507.9156,3696.2185,-201.4339,3777.7576,69855.5703,51764.3594,56697.3438,43134.9531,-399.9621,3301.2407,3719.0842,29603.7441,37158.4102,68284.4688,330.555084
