blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.003391
64,28.538971,0,NaN,0.054019
64,28.795807,0,NaN,0.051198
64,29.051666,0,NaN,0.034551
64,29.307526,0,NaN,0.033117
64,29.563385,0,NaN,0.026962
64,29.819244,0,NaN,0.025611
64,30.075104,0,NaN,0.036945
64,30.330963,0,NaN,0.027767
64,30.587799,0,NaN,0.028153
32,30.715729,32,30.715729,0.003143
96,31.099518,64,31.099518,0.029307
64,31.099518,0,NaN,0.073596
64,31.355377,0,NaN,0.046027
64,31.611237,0,NaN,0.038021
64,31.867096,0,NaN,0.026537
64,32.123932,0,NaN,0.030877
64,32.379791,0,NaN,0.026351
64,32.635651,0,NaN,0.030433
64,32.891510,0,NaN,0.036710
64,33.147369,0,NaN,0.023802
64,33.403229,0,NaN,0.032316
64,33.659088,0,NaN,0.047653
64,33.915924,0,NaN,0.029620
64,34.171783,0,NaN,0.039438
64,34.427643,0,NaN,0.025963
64,34.683502,0,NaN,0.033137
32,34.811432,32,34.811432,0.001115
96,35.195221,64,35.195221,0.029172
64,35.195221,0,NaN,0.038393
64,35.451080,0,NaN,0.025374
64,35.707916,0,NaN,0.038711
64,35.963776,0,NaN,0.034777
64,36.219635,0,NaN,0.034314
64,36.475494,0,NaN,0.047182
64,36.731354,0,NaN,0.027458
64,36.987213,0,NaN,0.034282
64,37.243073,0,NaN,0.033700
64,37.499908,0,NaN,0.028767
64,37.755768,0,NaN,0.043779
64,38.011627,0,NaN,0.031499
64,38.267487,0,NaN,0.041395
64,38.523346,0,NaN,0.033054
64,38.779205,0,NaN,0.099924
64,39.035065,0,NaN,0.075589
64,39.291901,0,NaN,0.034769
64,39.547760,0,NaN,0.041283
64,39.803619,0,NaN,0.067760
64,40.059479,0,NaN,0.027226
64,40.315338,0,NaN,0.028118
32,40.443268,32,40.443268,0.001311
96,40.827057,64,40.827057,0.032686
64,40.827057,0,NaN,0.033655
64,41.083893,0,NaN,0.044131
64,41.339752,0,NaN,0.027598
64,41.595612,0,NaN,0.029955
64,41.851471,0,NaN,0.047067
64,42.107330,0,NaN,0.025432
64,42.363190,0,NaN,0.030584
64,42.619049,0,NaN,0.030077
64,42.875885,0,NaN,0.033531
64,43.131744,0,NaN,0.029643
64,43.387604,0,NaN,0.031636
64,43.643463,0,NaN,0.022938
64,43.899323,0,NaN,0.035556
64,44.155182,0,NaN,0.031194
64,44.411041,0,NaN,0.034614
64,44.667877,0,NaN,0.043200
64,44.923737,0,NaN,0.047904
64,45.179596,0,NaN,0.042039
64,45.435455,0,NaN,0.042239
64,45.691315,0,NaN,0.026457
64,45.947174,0,NaN,0.042375
64,46.203033,0,NaN,0.027369
64,46.459869,0,NaN,0.028310
64,46.715729,0,NaN,0.025978
64,46.971588,0,NaN,0.049140
64,47.227448,0,NaN,0.045736
64,47.483307,0,NaN,0.036209
64,47.739166,0,NaN,0.044214
64,47.995026,0,NaN,0.051618
64,48.251862,0,NaN,0.050914
64,48.507721,0,NaN,0.050101
64,48.763580,0,NaN,0.041452
64,49.019440,0,NaN,0.052689
64,49.275299,0,NaN,0.028197
64,49.531158,0,NaN,0.033283
64,49.787018,0,NaN,0.042755
32,49.915924,32,49.915924,0.001726
96,50.299713,64,50.299713,0.032093
64,50.299713,0,NaN,0.039611
64,50.555573,0,NaN,0.037933
64,50.811432,0,NaN,0.029657
64,51.067291,0,NaN,0.062699
64,51.323151,0,NaN,0.042019
64,51.579010,0,NaN,0.026529
64,51.835846,0,NaN,0.029890
64,52.091705,0,NaN,0.056547
64,52.347565,0,NaN,0.046940
64,52.603424,0,NaN,0.037192
32,52.731354,32,52.731354,0.001171
96,53.115143,64,53.115143,0.038284
64,53.115143,0,NaN,0.039278
64,53.371002,0,NaN,0.029874
32,53.499908,32,53.499908,0.001268
96,53.883698,64,53.883698,0.034105
64,53.883698,0,NaN,0.025261
64,54.139557,0,NaN,0.036042
64,54.395416,0,NaN,0.037564
64,54.651276,0,NaN,0.022880
64,54.907135,0,NaN,0.042327
64,55.162994,0,NaN,0.037922
64,55.419830,0,NaN,0.040373
64,55.675690,0,NaN,0.047904
64,55.931549,0,NaN,0.042503
64,56.187408,0,NaN,0.049137
64,56.443268,0,NaN,0.041685
64,56.699127,0,NaN,0.042427
64,56.954987,0,NaN,0.033054
64,57.211823,0,NaN,0.051394
64,57.467682,0,NaN,0.034644
64,57.723541,0,NaN,0.051201
64,57.979401,0,NaN,0.035221
64,58.235260,0,NaN,0.041658
64,58.491119,0,NaN,0.031526
