Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
-623.1666,-187500.0156,-187500.0156,-187500.0156,-174646.5625,-179960.0156,-170277.9531,-176320.7969,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-168325.2656,-166493.5313,-167775.0000,-169315.4375,-187500.0156,-187500.0156,-187500.0156,-186604.8750,-182963.1250,-183744.4063,5.119141,NaN,NaN,NaN
-681.5046,-187500.0156,-187500.0156,-187500.0156,-174486.3594,-179628.1406,-170040.5313,-176130.3125,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-168150.9844,-166061.6563,-167603.9063,-169097.8906,-187500.0156,-187500.0156,-187500.0156,-186228.7188,-182812.0469,-183751.7656,5.123138,NaN,NaN,NaN
-636.3541,-187500.0156,-187500.0156,-187500.0156,-173583.0625,-176971.7656,-168434.8281,-174661.6250,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-167047.7031,-162029.4844,-166693.2031,-167174.1250,-187500.0156,-187500.0156,-187500.0156,-184158.9375,-181307.8438,-182471.7656,5.127136,NaN,NaN,NaN
-539.7052,-187500.0156,-187500.0156,-187500.0156,-173188.2344,-175660.5938,-167684.3906,-173951.1719,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-166539.8750,-159960.8281,-166303.2031,-166208.5000,-187500.0156,-187500.0156,-187500.0156,-183229.2031,-180524.6875,-181681.5938,5.131134,NaN,NaN,NaN
-491.8948,-187500.0156,-187500.0156,-187500.0156,-173789.3281,-177347.9844,-168728.9844,-174890.7969,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-167263.7813,-162484.6875,-166917.2969,-167417.3750,-187500.0156,-187500.0156,-187500.0156,-184623.1875,-181460.3906,-182393.7969,5.135132,NaN,NaN,NaN
-600.5243,-187500.0156,-187500.0156,-187500.0156,-174625.2500,-179904.9219,-170249.6250,-176296.3438,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-168303.6406,-166413.7344,-167758.4844,-169280.0625,-187500.0156,-187500.0156,-187500.0156,-186560.0156,-182932.2969,-183718.3906,5.139130,NaN,NaN,NaN
-794.2916,-187500.0156,-187500.0156,-187500.0156,-174501.3594,-179647.5156,-170057.7500,-176148.3750,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-168169.0000,-166085.2969,-167619.9063,-169117.3594,-187500.0156,-187500.0156,-187500.0156,-186247.3281,-182818.3750,-183755.6719,5.143127,NaN,NaN,NaN
-818.6102,-187500.0156,-187500.0156,-187500.0156,-173669.7188,-177072.6563,-168497.9063,-174729.7656,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-167099.4219,-162136.6719,-166739.2969,-167245.2969,-187500.0156,-187500.0156,-187500.0156,-184223.4219,-181342.4219,-182500.2813,5.147125,NaN,NaN,NaN
-692.2559,-187500.0156,-187500.0156,-187500.0156,-173296.2500,-175775.0469,-167748.3438,-174023.7656,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-166589.6094,-160075.5000,-166345.4531,-166279.1094,-187500.0156,-187500.0156,-187500.0156,-183298.8906,-180565.0313,-181717.0781,5.151123,NaN,NaN,NaN
-511.1397,-187500.0156,-187500.0156,-187500.0156,-174722.3281,-179958.0938,-170282.4375,-176342.7188,-187500.0156,-187500.0156,-187500.0156,-187500.0156,-168321.8594,-166423.1719,-167782.3125,-169312.2031,-187500.0156,-187500.0156,-187500.0156,-186547.3438,-182929.6250,-183721.4375,5.155121,NaN,NaN,NaN
