Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
94917.7109,-67838.4141,-67906.2734,-67948.8281,106511.1328,-67920.3516,-67814.0078,-67876.1875,-67842.1016,-67841.2266,-67905.5781,-67919.3906,123033.9688,-67994.1641,-67862.9766,-67906.0938,92193.9453,-67945.5938,-67931.2188,-68035.0391,-67943.2891,-67921.5156,35.071289
83989.6484,-68030.0781,-68093.7188,-68136.2734,106562.2969,-68107.9531,-68001.3359,-68063.6953,-68029.6563,-68028.7578,-68093.1094,-68106.8594,123080.7500,-68181.8672,-68050.4609,-68093.6016,92186.1484,-68133.8828,-68119.3047,-68223.1094,-68131.3750,-68109.6953,35.075287
83363.1328,-68017.6094,-68080.7734,-68123.4219,106559.3203,-68095.0156,-67988.4844,-68050.8672,-68016.8281,-68015.8672,-68080.3281,-68094.0469,123068.9688,-68169.0391,-68037.6797,-68080.8594,92108.6094,-68121.1406,-68106.4297,-68210.3438,-68118.6406,-68096.9531,35.079285
93911.5859,-67817.7422,-67885.0625,-67927.6875,106484.8047,-67899.2109,-67792.9063,-67855.0859,-67820.9766,-67820.1094,-67884.5469,-67898.4297,122991.8516,-67973.1250,-67842.0156,-67885.0859,92074.4766,-67925.1406,-67910.7031,-68014.5000,-67922.7031,-67901.0000,35.083282
101437.8672,-67708.3281,-67778.3359,-67821.0469,106424.3438,-67792.3672,-67686.3516,-67748.3594,-67714.1172,-67713.2422,-67777.7031,-67791.5859,122933.8984,-67866.1953,-67735.1484,-67778.1094,92097.5625,-67817.9375,-67803.6797,-67907.4141,-67815.6797,-67793.8672,35.087280
94739.3438,-67864.1875,-67931.9141,-67974.5391,106455.9688,-67946.0391,-67839.7578,-67901.8672,-67867.6953,-67866.8672,-67931.3281,-67945.1172,122964.8984,-68019.9531,-67888.7500,-67931.6406,92162.3203,-67971.5156,-67957.1484,-68060.8359,-67969.1250,-67947.4453,35.091278
84025.6797,-68047.1328,-68110.7266,-68153.3047,106507.6875,-68124.9609,-68018.3906,-68080.7031,-68046.4844,-68045.5703,-68109.9844,-68123.7969,123014.3203,-68198.9219,-68067.4766,-68110.4531,92201.1406,-68150.3750,-68135.8281,-68239.5625,-68147.8281,-68126.1953,35.095276
83583.0234,-68024.3594,-68087.7500,-68130.3984,106496.1328,-68101.9844,-67995.4141,-68057.7266,-68023.4609,-68022.5469,-68086.9219,-68100.7578,123000.7969,-68175.8359,-68044.3594,-68087.3906,92194.1484,-68127.6484,-68113.0703,-68216.8984,-68125.1406,-68103.4609,35.099274
94110.8984,-67870.7578,-67938.3281,-67980.9063,106429.6641,-67952.4063,-67845.9688,-67908.1719,-67874.1094,-67873.1484,-67937.5469,-67951.4688,122934.9922,-68026.2344,-67894.9609,-67937.9922,92182.3438,-67978.4063,-67964.0078,-68067.7891,-67976.1016,-67954.3516,35.103271
101362.1875,-67818.2734,-67888.5078,-67931.0625,106378.2500,-67902.4766,-67796.2344,-67858.3047,-67824.3750,-67823.4609,-67887.8984,-67901.6719,122888.0547,-67976.4766,-67845.3438,-67888.1875,92217.9297,-67928.4922,-67914.2344,-68017.9453,-67926.2344,-67904.5313,35.107269
94344.1406,-68002.9688,-68070.6484,-68113.2734,106402.2109,-68084.7969,-67978.3359,-68040.5391,-68006.6094,-68005.7188,-68070.1328,-68083.8359,122915.9922,-68158.8516,-68027.4453,-68070.4688,92272.3984,-68110.7734,-68096.3516,-68200.1328,-68108.3984,-68086.7422,35.111267
83526.6328,-68200.8281,-68264.1250,-68306.5938,106454.9844,-68278.5000,-68171.6797,-68233.9922,-68200.0234,-68199.1719,-68263.5234,-68277.2656,122966.8906,-68352.5469,-68220.8750,-68264.0156,92258.8125,-68304.4922,-68289.8281,-68393.8125,-68301.7656,-68280.2422,35.115265
83179.7109,-68171.8984,-68234.8906,-68277.3984,106447.6328,-68249.1719,-68142.4844,-68204.8281,-68170.8984,-68170.0469,-68234.3984,-68248.1641,122955.4688,-68323.3984,-68191.7500,-68234.8672,92222.9375,-68275.3906,-68260.7969,-68364.7734,-68272.7266,-68251.2031,35.119263
93842.7422,-67976.8125,-68044.2734,-68086.7422,106369.0234,-68058.3516,-67951.9844,-68014.1406,-67980.1719,-67979.3438,-68043.7578,-68057.4609,122877.1484,-68132.5156,-68001.0703,-68044.2031,92192.1328,-68084.5703,-68070.1563,-68173.9766,-68082.1172,-68060.4141,35.123260
101168.3750,-67924.3125,-67994.2031,-68036.8750,106320.7813,-68008.3984,-67902.1172,-67964.2734,-67930.2109,-67929.3594,-67993.8281,-68007.5469,122830.8359,-68082.4531,-67951.1797,-67994.2500,92213.1875,-68034.5078,-68020.1797,-68124.0234,-68032.1563,-68010.4531,35.127258
94198.2031,-68130.1016,-68197.4922,-68240.1172,106354.8047,-68211.7734,-68105.2500,-68167.4766,-68133.5703,-68132.6328,-68197.0234,-68210.7969,122865.3203,-68285.9609,-68154.3594,-68197.5391,92268.2656,-68237.7031,-68223.0391,-68327.0703,-68234.9766,-68213.4766,35.131256
94198.2031,-68130.1016,-68197.4922,-68240.1172,106354.8047,-68211.7734,-68105.2500,-68167.4766,-68133.5703,-68132.6328,-68197.0234,-68210.7969,122865.3203,-68285.9609,-68154.3594,-68197.5391,92268.2656,-68237.7031,-68223.0391,-68327.0703,-68234.9766,-68213.4766,35.135254
83372.5391,-68392.1328,-68455.0313,-68497.6094,106402.4844,-68469.4219,-68362.5859,-68425.0156,-68391.1719,-68390.1641,-68454.5391,-68468.1953,122912.2813,-68543.8125,-68411.7813,-68455.0313,92240.2344,-68494.9766,-68480.0391,-68584.2031,-68491.9766,-68470.5234,35.139252
82947.2344,-68512.9453,-68575.6875,-68618.1953,106396.8516,-68590.1016,-68483.1250,-68545.6250,-68511.8047,-68510.7578,-68575.1719,-68588.7656,122902.1563,-68664.4453,-68532.3047,-68575.6875,92093.5391,-68615.7813,-68600.7422,-68704.9688,-68612.7891,-68591.3125,35.143250
93280.5781,-68556.1094,-68623.1797,-68665.8047,106327.8906,-68637.6250,-68530.6250,-68593.1641,-68559.3281,-68558.2969,-68622.7344,-68636.3906,122832.2656,-68712.0781,-68580.0234,-68623.2734,92023.3828,-68663.1953,-68648.0859,-68752.3281,-68660.1563,-68638.6719,35.147247
99869.8672,-68845.9844,-68915.1172,-68957.8359,106274.5859,-68929.8047,-68822.5625,-68885.1875,-68851.5938,-68850.6094,-68914.9844,-68928.6172,122783.6250,-69004.6797,-68872.2969,-68915.5859,92064.2188,-68956.3594,-68940.9609,-69045.5000,-68953.0313,-68931.6797,35.151245
99869.8672,-68845.9844,-68915.1172,-68957.8359,106274.5859,-68929.8047,-68822.5625,-68885.1875,-68851.5938,-68850.6094,-68914.9844,-68928.6172,122783.6250,-69004.6797,-68872.2969,-68915.5859,92064.2188,-68956.3594,-68940.9609,-69045.5000,-68953.0313,-68931.6797,35.155243
92278.3438,-69447.9375,-69514.0781,-69556.7500,106315.6406,-69529.1406,-69421.3203,-69484.1094,-69450.8203,-69449.7969,-69514.2344,-69527.6953,122826.7422,-69604.4063,-69471.2344,-69514.9766,92150.5156,-69556.3438,-69540.3203,-69645.1953,-69552.3672,-69531.3984,35.159241
92278.3438,-69447.9375,-69514.0781,-69556.7500,106315.6406,-69529.1406,-69421.3203,-69484.1094,-69450.8203,-69449.7969,-69514.2344,-69527.6953,122826.7422,-69604.4063,-69471.2344,-69514.9766,92150.5156,-69556.3438,-69540.3203,-69645.1953,-69552.3672,-69531.3984,35.163239
81505.1406,-69846.0938,-69906.9297,-69949.4922,106374.9688,-69922.2891,-69813.9297,-69877.0078,-69843.8125,-69842.6719,-69907.0938,-69920.5469,122886.0000,-69997.7266,-69864.1094,-69907.9609,92182.9063,-69949.3594,-69933.0156,-70038.1406,-69944.9531,-69924.2813,35.167236
