Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
-765.4355,-177361.4688,-183997.9219,-186182.2969,-175219.8281,-175726.1875,-176821.9688,-184733.0000,-187304.6563,-187500.0156,-180977.8438,-187500.0156,-178832.2969,-159173.0000,-173821.5156,-177614.6406,-187500.0156,-187500.0156,-187500.0156,-171823.1563,-182449.8125,-187500.0156,59.135742,NaN,NaN,NaN
-476.4051,-180459.1875,-185383.0313,-187500.0156,-176121.8438,-178398.5625,-178430.5000,-186206.5625,-187500.0156,-187500.0156,-182849.6875,-187500.0156,-179933.3750,-163236.4844,-174732.0469,-179547.0156,-187500.0156,-187500.0156,-187500.0156,-173896.1406,-183963.0469,-187500.0156,59.139740,NaN,NaN,NaN
-275.2170,-181815.3906,-185973.2188,-187500.0156,-176498.0156,-179660.2500,-179149.5781,-186890.7031,-187500.0156,-187500.0156,-183627.3906,-187500.0156,-180413.3750,-165224.9375,-175101.6875,-180477.8125,-187500.0156,-187500.0156,-187500.0156,-174759.6719,-184714.6250,-187500.0156,59.143738,NaN,NaN,NaN
-872.7015,-179397.1563,-184898.9688,-187500.0156,-175790.9219,-177641.5781,-177914.8906,-185776.0000,-187500.0156,-187500.0156,-182161.7031,-187500.0156,-179565.6406,-162202.9375,-174385.5625,-179035.8281,-187500.0156,-187500.0156,-187500.0156,-173133.0000,-183591.8125,-187500.0156,59.147736,NaN,NaN,NaN
-893.3992,-176808.2344,-183739.7344,-185735.3750,-175043.4531,-175340.5781,-176554.2500,-184513.0625,-187081.5469,-187500.0156,-180608.1719,-187500.0156,-178639.8438,-158656.3125,-173635.7188,-177358.5313,-187500.0156,-187500.0156,-187500.0156,-171416.1094,-182266.8281,-187500.0156,59.151733,NaN,NaN,NaN
-764.6531,-177345.5313,-183987.1250,-186170.5156,-175210.4688,-175716.5781,-176816.9531,-184727.7500,-187294.1406,-187500.0156,-180965.6406,-187500.0156,-178829.4375,-159162.9219,-173815.4219,-177608.0000,-187500.0156,-187500.0156,-187500.0156,-171817.1563,-182449.5469,-187500.0156,59.155731,NaN,NaN,NaN
-472.2029,-180448.9063,-185379.1875,-187500.0156,-176119.8281,-178395.1250,-178431.7813,-186207.5938,-187500.0156,-187500.0156,-182844.4531,-187500.0156,-179936.3125,-163229.2188,-174733.5000,-179548.1406,-187500.0156,-187500.0156,-187500.0156,-173888.9375,-183961.2031,-187500.0156,59.159729,NaN,NaN,NaN
-273.5183,-181817.3750,-185977.1406,-187500.0156,-176502.6250,-179666.4688,-179158.7500,-186899.4063,-187500.0156,-187500.0156,-183631.6875,-187500.0156,-180422.3594,-165230.9688,-175108.7188,-180488.4063,-187500.0156,-187500.0156,-187500.0156,-174758.0625,-184716.5313,-187500.0156,59.163727,NaN,NaN,NaN
-871.3604,-179392.7188,-184893.2031,-187500.0156,-175784.6875,-177641.3750,-177915.9063,-185775.9063,-187500.0156,-187500.0156,-182157.0938,-187500.0156,-179567.5625,-162208.2500,-174383.4688,-179036.8906,-187500.0156,-187500.0156,-187500.0156,-173135.6406,-183597.0469,-187500.0156,59.167725,NaN,NaN,NaN
-893.6003,-176806.3125,-183739.2031,-185737.6094,-175043.0781,-175344.4063,-176559.6875,-184517.7344,-187083.5781,-187500.0156,-180608.2188,-187500.0156,-178646.1250,-158661.5469,-173639.9688,-177365.6875,-187500.0156,-187500.0156,-187500.0156,-171415.0313,-182269.4688,-187500.0156,59.171722,NaN,NaN,NaN
