blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
0,NaN,0,NaN,0.001304
32,428.795807,32,428.795807,0.000480
64,429.051666,32,429.051666,0.038527
64,429.435455,0,NaN,0.010296
96,429.435455,0,NaN,0.014161
32,429.563385,32,429.563385,0.000430
64,429.819244,32,429.819244,0.007721
64,430.203033,0,NaN,0.007152
96,430.203033,0,NaN,0.013717
64,430.459869,0,NaN,0.004998
64,430.715729,0,NaN,0.005565
32,430.843658,32,430.843658,0.000409
64,431.099518,32,431.099518,0.006236
64,431.355377,32,431.355377,0.005678
64,431.739166,0,NaN,0.006444
96,431.739166,0,NaN,0.013817
64,431.995026,0,NaN,0.007844
32,432.123932,32,432.123932,0.000662
64,432.379791,32,432.379791,0.014831
64,432.635651,32,432.635651,0.006071
64,433.019440,0,NaN,0.006686
96,433.019440,0,NaN,0.011774
64,433.275299,0,NaN,0.005278
32,433.403229,32,433.403229,0.000489
64,433.787018,0,NaN,0.008095
96,433.787018,0,NaN,0.013968
64,434.043854,0,NaN,0.004998
64,434.299713,0,NaN,0.005295
64,434.555573,0,NaN,0.005205
64,434.811432,0,NaN,0.006083
64,435.067291,0,NaN,0.006968
32,435.195221,32,435.195221,0.000778
64,435.579010,0,NaN,0.007844
96,435.579010,0,NaN,0.012655
64,435.835846,0,NaN,0.007056
32,435.963776,32,435.963776,0.000458
64,436.347565,0,NaN,0.007841
96,436.347565,0,NaN,0.012381
64,436.603424,0,NaN,0.007107
64,436.859283,0,NaN,0.005548
32,436.987213,32,436.987213,0.000428
64,437.371002,0,NaN,0.007965
96,437.371002,0,NaN,0.016241
64,437.627838,0,NaN,0.006731
64,437.883698,0,NaN,0.006906
32,438.011627,32,438.011627,0.000505
64,438.395416,0,NaN,0.008858
96,438.395416,0,NaN,0.013618
64,438.651276,0,NaN,0.007005
64,438.907135,0,NaN,0.006207
32,439.035065,32,439.035065,0.000403
64,439.291901,32,439.291901,0.006427
64,439.547760,32,439.547760,0.006573
64,439.931549,0,NaN,0.007480
96,439.931549,0,NaN,0.011663
64,440.187408,0,NaN,0.005335
64,440.443268,0,NaN,0.006934
64,440.699127,0,NaN,0.006821
64,440.954987,0,NaN,0.006722
64,441.211823,0,NaN,0.006726
64,441.467682,0,NaN,0.009118
64,441.723541,0,NaN,0.006762
64,441.979401,0,NaN,0.006548
43,442.151306,43,442.151306,0.000681
64,442.491119,0,NaN,0.007860
85,442.491119,0,NaN,0.013252
32,442.619049,32,442.619049,0.000427
64,443.003815,0,NaN,0.008912
96,443.003815,0,NaN,0.013952
64,443.259674,0,NaN,0.006910
64,443.515533,0,NaN,0.006840
64,443.771393,0,NaN,0.005544
32,443.899323,32,443.899323,0.000454
64,444.283112,0,NaN,0.008341
96,444.283112,0,NaN,0.012789
64,444.538971,0,NaN,0.006714
64,444.795807,0,NaN,0.006395
32,444.923737,32,444.923737,0.000574
64,445.307526,0,NaN,0.008140
96,445.307526,0,NaN,0.013114
64,445.563385,0,NaN,0.005666
32,445.691315,32,445.691315,0.000444
64,445.947174,32,445.947174,0.007187
64,446.330963,0,NaN,0.009459
96,446.330963,0,NaN,0.014647
64,446.587799,0,NaN,0.005885
64,446.843658,0,NaN,0.006737
32,446.971588,32,446.971588,0.000573
64,447.227448,32,447.227448,0.006814
64,447.483307,32,447.483307,0.006604
64,447.739166,32,447.739166,0.005274
64,448.123932,0,NaN,0.008178
96,448.123932,0,NaN,0.012665
64,448.379791,0,NaN,0.007290
64,448.635651,0,NaN,0.006371
64,448.891510,0,NaN,0.005754
32,449.019440,32,449.019440,0.000549
64,449.403229,0,NaN,0.008126
96,449.403229,0,NaN,0.013030
64,449.659088,0,NaN,0.005836
64,449.915924,0,NaN,0.006681
64,450.171783,0,NaN,0.007019
64,450.427643,0,NaN,0.007599
32,450.555573,32,450.555573,0.000530
64,450.939362,0,NaN,0.008128
96,450.939362,0,NaN,0.012683
64,451.195221,0,NaN,0.006035
32,451.323151,32,451.323151,0.000606
64,451.707916,0,NaN,0.008561
96,451.707916,0,NaN,0.013957
64,451.963776,0,NaN,0.005577
64,452.219635,0,NaN,0.005271
64,452.475494,0,NaN,0.005084
64,452.731354,0,NaN,0.007401
64,452.987213,0,NaN,0.005231
64,453.243073,0,NaN,0.005290
32,453.371002,32,453.371002,0.000437
64,453.755768,0,NaN,0.011618
96,453.755768,0,NaN,0.016793
64,454.011627,0,NaN,0.005165
32,454.139557,32,454.139557,0.000685
64,454.523346,0,NaN,0.008311
96,454.523346,0,NaN,0.014047
32,454.651276,32,454.651276,0.000471
64,454.907135,32,454.907135,0.008085
64,455.162994,32,455.162994,0.005320
64,455.419830,32,455.419830,0.005449
64,455.803619,0,NaN,0.008108
96,455.803619,0,NaN,0.015123
64,456.059479,0,NaN,0.007369
64,456.315338,0,NaN,0.006943
32,456.443268,32,456.443268,0.000664
64,456.827057,0,NaN,0.008048
96,456.827057,0,NaN,0.012728
64,457.083893,0,NaN,0.006854
32,457.211823,32,457.211823,0.000443
64,457.595612,0,NaN,0.007305
96,457.595612,0,NaN,0.011085
64,457.851471,0,NaN,0.009847
64,458.107330,0,NaN,0.006044
64,458.363190,0,NaN,0.006591
64,458.619049,0,NaN,0.005373
64,458.875885,0,NaN,0.005371
64,459.131744,0,NaN,0.006889
64,459.387604,0,NaN,0.005828
64,459.643463,0,NaN,0.005718
64,459.899323,0,NaN,0.006381
32,460.027252,32,460.027252,0.000629
64,460.411041,0,NaN,0.007939
96,460.411041,0,NaN,0.012938
64,460.667877,0,NaN,0.005077
