blockSize,timeStamp(end),bufferBlockSize,bufferTimeStamp(end),updateDuration
96,495.995026,32,495.995026,0.086891
32,496.123932,0,NaN,0.031863
96,496.507721,32,496.507721,0.030632
32,496.635651,0,NaN,0.032148
64,496.891510,0,NaN,0.045914
64,497.147369,0,NaN,0.052084
64,497.403229,0,NaN,0.034071
96,497.787018,32,497.787018,0.051249
64,498.043854,32,498.043854,0.036327
64,498.299713,32,498.299713,0.026318
64,498.555573,32,498.555573,0.083422
32,498.683502,0,NaN,0.039755
96,499.067291,32,499.067291,0.077920
32,499.195221,0,NaN,0.064322
96,499.579010,32,499.579010,0.051765
32,499.707916,0,NaN,0.069608
64,499.963776,0,NaN,0.038431
64,500.219635,0,NaN,0.039601
96,500.603424,32,500.603424,0.042364
64,500.859283,32,500.859283,0.047003
64,501.115143,32,501.115143,0.033235
32,501.243073,0,NaN,0.035560
96,501.627838,32,501.627838,0.044465
64,501.883698,32,501.883698,0.043088
32,502.011627,0,NaN,0.028267
64,502.267487,0,NaN,0.027480
96,502.651276,32,502.651276,0.064436
64,502.907135,32,502.907135,0.032324
64,503.162994,32,503.162994,0.033905
64,503.419830,32,503.419830,0.036733
32,503.547760,0,NaN,0.030493
96,503.931549,32,503.931549,0.029883
64,504.187408,32,504.187408,0.039315
64,504.443268,32,504.443268,0.034101
64,504.699127,32,504.699127,0.035083
32,504.827057,0,NaN,0.031238
64,505.083893,0,NaN,0.030638
64,505.339752,0,NaN,0.038650
96,505.723541,32,505.723541,0.039534
64,505.979401,32,505.979401,0.028215
32,506.107330,0,NaN,0.036406
96,506.491119,32,506.491119,0.035329
64,506.746979,32,506.746979,0.107380
32,506.875885,0,NaN,0.054161
64,507.131744,0,NaN,0.026798
64,507.387604,0,NaN,0.027624
96,507.771393,32,507.771393,0.042789
64,508.027252,32,508.027252,0.031445
32,508.155182,0,NaN,0.025633
96,508.538971,32,508.538971,0.034269
32,508.667877,0,NaN,0.030578
64,508.923737,0,NaN,0.022993
96,509.307526,32,509.307526,0.023488
64,509.563385,32,509.563385,0.022695
64,509.819244,32,509.819244,0.039284
64,510.075104,32,510.075104,0.033645
32,510.203033,0,NaN,0.037044
64,510.459869,0,NaN,0.019836
64,510.715729,0,NaN,0.066207
96,511.099518,32,511.099518,0.043418
64,511.355377,32,511.355377,0.035180
32,511.483307,0,NaN,0.029448
64,511.739166,0,NaN,0.025670
96,512.123932,32,512.123932,0.043907
64,512.379791,32,512.379791,0.038640
32,512.507721,0,NaN,0.034019
86,512.851532,22,512.851532,0.042109
42,513.019440,0,NaN,0.050257
96,513.403229,32,513.403229,0.027123
64,513.659088,32,513.659088,0.034014
32,513.787018,0,NaN,0.034784
96,514.171783,32,514.171783,0.033965
64,514.427643,32,514.427643,0.034045
32,514.555573,0,NaN,0.027771
96,514.939362,32,514.939362,0.030326
64,515.195221,32,515.195221,0.040192
64,515.451080,32,515.451080,0.034353
32,515.579010,0,NaN,0.028357
96,515.963776,32,515.963776,0.027088
64,516.219635,32,516.219635,0.035748
64,516.475494,32,516.475494,0.030366
32,516.603424,0,NaN,0.049360
96,516.987213,32,516.987213,0.050874
32,517.115143,0,NaN,0.047657
64,517.371002,0,NaN,0.029112
64,517.627838,0,NaN,0.058943
64,517.883698,0,NaN,0.033266
96,518.267487,32,518.267487,0.042050
64,518.523346,32,518.523346,0.029156
64,518.779205,32,518.779205,0.023658
